movie_id,title,ground_truth,annotation_rationale,evidence_excerpt
tt0093565,Moonstruck,1,Included: structured and semantic conditions match.,"Generally over rated movie which boasts a strong cast and some clever dialog and of course Dean Martin songs. Problem is Nicholas Cage, there is no chemistry between he and Cher and they are the central love story. Cher almost makes up for "
tt0110099,I.Q.,1,Included: structured and semantic conditions match.,"Tim Robbins is oddly benign here, cast as a garage mechanic in 1950s New Jersey who falls in love with a perky blonde who turns out to be Albert Einstein's niece! Although he's on-screen much of the time, Robbins cancels out the inner-worki"
tt0116191,Emma,1,Included: structured and semantic conditions match.,"Bah. Another tired, desultory reworking of an out of copyright work never designed to be filmed.  On the plus side, Toni Collette is superb as always (being an actual actress, you see), and there are some nicely handled handover cuts betwee"
tt0250202,All Over the Guy,1,Included: structured and semantic conditions match.,I thought this was a truly awful film--I found myself actually yelling at my tv a couple times. One or both of the gay male leads was miscast; there was absolutely no chemistry between them and Richard Ruccolo looked like he'd rather be kis
tt0265029,America's Sweethearts,1,Included: structured and semantic conditions match.,"In fact, it never was. I'm not sure why Billy Crystal wanted to recreate a 1940s screwball comedy. What a vacuous shambles! None of these people come close to a Cary Grant, Spencer Tracy, Katherine Hepburn, etc, and anyway, today's audience"
tt0306069,The Singles Ward,1,Included: structured and semantic conditions match.,"This movie was terrible. The plot sucked, the acting was bad, the editing was inept and this movie makes me want to poke my eyes out. I wish I had the time I spent watching this movie back. The balloon scene was stupid, the Mormon jokes are"
tt0332047,Fever Pitch,1,Included: structured and semantic conditions match.,"I am generally more willing to be open minded about rom coms than many, but this was simply not a very good attempt. Its got nothing to do with comparisons with the British original -- have not seen, and doubt I will. It has a whole lot to "
tt0343135,Along Came Polly,1,Included: structured and semantic conditions match.,"I realize several Ben Stiller movies are out or will be out this year, but perhaps he should insist on quality, not quantity.  I was dumbfounded at what the filmmakers thought passed for comedy in ""Along Came Polly.""   Stiller's Reuben is g"
tt0372532,The Wedding Date,1,Included: structured and semantic conditions match.,"For romantic comedies, I often judge the quality of the film based upon the mistiness of my eyes by the end of the experience. Unfortunately for ""The Wedding Date,"" I can only rate the film with 4 out of 10 possible tears.  My apologies to "
tt0375785,Gray Matters,1,Included: structured and semantic conditions match.,"I watched this movie yesterday and was highly disappointed.  Heather Graham and Tom Cavanaugh basically had to carry this awkwardly unbelievable script for five hours (or however long it actually was). From the beginning, every single eleme"
tt0473500,Kettle of Fish,1,Included: structured and semantic conditions match.,"For the life of me I can't understand the good reviews on this piece of crap. It was pointless. Matthew Modine was horribly miscast as a leading ladies man. Gina Gershon, well, others have said it, but I'll reiterate, why the stupid accent?"
tt0815236,She's Out of My League,1,Included: structured and semantic conditions match.,"I thought that this movies was a letdown I expected it to be so much better than it was. I am so glad I didn't pay to see this movie and that I didn't sit in a movie theater for this one. Where to begin on this movie, the acting in this mov"
