movie_id,title,director,year,runtime,genres
tt0022302,The Red Shadow,Roy Mack,1932,18,"Drama,Musical,Mystery"
tt0028757,A Damsel in Distress,George Stevens,1937,101,"Comedy,Musical,Romance"
tt0029588,Something to Sing About,Victor Schertzinger,1937,93,"Comedy,Musical"
tt0029626,"Swing High, Swing Low",Mitchell Leisen,1937,92,"Comedy,Drama,Musical"
tt0040869,That Lady in Ermine,"Ernst Lubitsch, Otto Preminger",1948,89,"Comedy,Fantasy,Musical"
tt0040875,Three Daring Daughters,Fred M. Wilcox,1948,115,"Drama,Musical,Romance"
tt0043980,Rooty Toot Toot,John Hubley,1951,7,"Animation,Comedy,Musical"
tt0046807,Brigadoon,Vincente Minnelli,1954,108,"Fantasy,Musical,Romance"
tt0047813,An Alligator Named Daisy,J. Lee Thompson,1955,85,"Comedy,Musical,Romance"
tt0049263,The Girl Can't Help It,Frank Tashlin,1956,98,"Comedy,Music"
tt0050135,April Love,Henry Levin,1957,97,"Comedy,Drama,Musical"
tt0062873,The Young Girls of Rochefort,Jacques Demy,1967,125,"Comedy,Drama,Musical"
tt0067546,Pakeezah,Kamal Amrohi,1972,147,"Drama,Musical,Romance"
tt0075850,Cinderella 2000,Al Adamson,1977,89,"Fantasy,Musical,Sci-Fi"
tt0078073,Perceval le Gallois,Éric Rohmer,1978,140,"Drama,Music,Romance"
tt0084698,Smithereens,Susan Seidelman,1982,93,"Drama,Music"
tt0084931,"Yes, Giorgio",Franklin J. Schaffner,1982,110,"Comedy,Musical,Romance"
tt0085497,EPCOT Center: The Opening Celebration,Dwight Hemion,1982,50,"Comedy,Family,Music"
tt0086619,Yentl,Barbra Streisand,1983,133,"Drama,Musical,Romance"
tt0087171,Down on Us,Larry Buchanan,1984,117,"Biography,Drama,Music"
tt0088915,A Chorus Line,Richard Attenborough,1985,118,"Drama,Music,Musical"
tt0090585,Absolute Beginners,Julien Temple,1986,108,"Drama,Musical,Romance"
tt0104567,Johnny Suede,Tom DiCillo,1991,97,"Comedy,Drama,Music"
tt0112605,Bye Bye Birdie,Gene Saks,1995,135,"Comedy,Drama,Musical"
tt0113158,Georgia,Ulu Grosbard,1995,115,"Drama,Music"
tt0126814,Big Meat Eater,Chris Windsor,1982,82,"Comedy,Horror,Musical"
tt0200550,Coyote Ugly,David McNally,2000,100,"Comedy,Drama,Music"
tt0209037,Everybody's Famous!,Dominique Deruddere,2000,97,"Comedy,Drama,Music"
tt0228528,Little Richard,Robert Townsend,2000,88,"Biography,Drama,Music"
tt0256692,Chori Chori Chupke Chupke,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",2001,165,"Comedy,Drama,Musical"
tt0318076,Slim Slam Slum,"Jorge Ballarin, Marcelino Ballarin",2002,97,"Comedy,Music,Romance"
tt0371212,Shooting Livien,Rebecca Bagley-Cook,2005,90,"Drama,Music,Romance"
tt0379307,Greendale,Neil Young,2003,87,"Drama,Musical"
tt0388888,Dig!,Ondi Timoner,2004,107,"Documentary,Music"
tt0429487,The 77th Annual Academy Awards,"Louis J. Horvitz, Errol Morris, Roger Goodman, Troy Miller",2005,194,Music
tt0443489,Dreamgirls,Bill Condon,2006,130,"Drama,Musical"
tt0445760,The Wayward Cloud,Tsai Ming-liang,2005,112,"Comedy,Drama,Musical"
tt0477392,Broken Bridges,Steven Goldmann,2006,105,"Drama,Music"
tt0485272,Salaam-E-Ishq,Nikkhil Advani,2007,216,"Comedy,Drama,Musical"
tt0494290,Vivah,Sooraj R. Barjatya,2006,160,"Drama,Family,Musical"
tt0025420,The Lost Jungle,"David Howard, Armand Schaefer",1934,243,"Action,Adventure,Drama"
tt0040862,Tarzan and the Mermaids,Robert Florey,1948,68,"Action,Adventure"
tt0042332,Cinderella,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",1950,74,"Animation,Family,Fantasy"
tt0051114,The True Story of Jesse James,Nicholas Ray,1957,92,"Biography,Crime,Drama"
tt0052792,The FBI Story,Mervyn LeRoy,1959,149,"Crime,Drama,History"
tt0053142,Operation Dames,Louis Clyde Stoumen,1959,74,"Drama,Romance,War"
tt0063094,Hot Millions,Eric Till,1968,106,"Comedy,Crime"
tt0068966,The Witches Mountain,Raúl Artigot,1973,86,Horror
tt0074829,The Legend of the Wolf Woman,Rino Di Silvestro,1976,79,Horror
tt0077372,Corvette Summer,Matthew Robbins,1978,105,"Adventure,Comedy"
tt0078159,Return to Boggy Creek,Tom Moore,1977,85,"Adventure,Drama,Family"
tt0080731,The Fiendish Plot of Dr. Fu Manchu,"Piers Haggard, Peter Sellers",1980,100,"Comedy,Crime,Fantasy"
tt0080756,Foxes,Adrian Lyne,1980,106,Drama
tt0082031,Arthur,Steve Gordon,1981,97,"Comedy,Romance"
tt0088176,The Stone Boy,Christopher Cain,1984,91,Drama
tt0088919,Chronos,Ron Fricke,1985,43,"Documentary,Short"
tt0092067,Castle in the Sky,Hayao Miyazaki,1986,124,"Adventure,Animation,Family"
tt0095050,Dominick and Eugene,Robert M. Young,1988,111,Drama
tt0095655,Moonwalker,"Jerry Kramer, Jim Blashfield, Colin Chilvers, Will Vinton",1988,93,"Action,Crime,Fantasy"
tt0096046,Scarecrows,William Wesley,1988,83,"Action,Crime,Horror"
tt0096511,Zombie 3,"Lucio Fulci, Claudio Fragasso, Bruno Mattei",1988,84,"Action,Horror,Sci-Fi"
