id,structured_match,final_match,source,cheap_score,routing_confidence_threshold
B00064GYJG,True,True,expensive,,
B0017N8LVY,True,False,expensive,,
B001GN6OT6,True,False,expensive,,
B0073M5GY8,True,True,expensive,,
B0074ETXWQ,True,True,expensive,,
B008COW3H4,True,True,expensive,,
B00CJ8SEQI,True,False,expensive,,
B00ETO5KWG,True,False,expensive,,
B00FXH7CEM,True,True,expensive,,
B00IIV1PHU,True,False,expensive,,
B00K0B7GRY,True,False,expensive,,
B00KLT1YZA,True,True,expensive,,
B00LM1OMS2,True,True,expensive,,
B00MG2NAB6,True,False,expensive,,
B00NHJJBG0,True,False,expensive,,
B00NJK3Y24,True,False,expensive,,
B00O3TMX22,True,False,expensive,,
B00PL41TY6,True,True,expensive,,
B00SXHWIFM,True,True,expensive,,
B00T2E8RZU,True,False,expensive,,
B00VE53MN2,True,True,expensive,,
B00VE53JBM,True,True,expensive,,
B00WP6VJ5M,True,True,expensive,,
B00X2O0KY2,True,True,expensive,,
B00XEXEKEC,True,True,expensive,,
B00ZP52LAW,True,True,expensive,,
B012I1TM7U,True,False,expensive,,
B013RMYEJK,True,False,expensive,,
B014PE8YS6,True,False,expensive,,
B014RSKTPQ,True,True,expensive,,
B015PNCP9U,True,False,expensive,,
B015XPKDQC,True,False,expensive,,
B0167JDXNS,True,False,expensive,,
B016BTJ7VG,True,True,expensive,,
B016BTJBXA,True,True,expensive,,
B017SNXJLS,True,True,expensive,,
B017T27DVU,True,False,expensive,,
B018S0HHSQ,True,True,expensive,,
B01968O2UK,True,False,expensive,,
B019C2HF0E,True,False,expensive,,
B019IHLBSU,True,False,expensive,,
B01A15YHPW,True,False,expensive,,
B01A63M77O,True,True,expensive,,
B01A9SPM00,True,False,expensive,,
B01ABL0K4S,True,False,expensive,,
B01CY0OGOE,True,True,expensive,,
B01D1K1X9W,True,False,expensive,,
B01DUJAT94,True,True,expensive,,
B01E7PV3H2,True,True,expensive,,
B01F71QDIE,True,False,expensive,,
