movie_id,title,ground_truth,annotation_rationale,evidence_excerpt
tt0028057,The Old Mill Pond,1,Included: structured and semantic conditions match.,"Add to the list of caricatures: a Southern preacher and ""congregation,"" a torch singer (Sophie Tucker?), a dancing chorus, and The Mills Brothers -- it only makes it worse.  Contemptible burlesques of ""Negro"" performers, who themselves ofte"
tt0096866,The BFG,1,Included: structured and semantic conditions match.,"The BFG is one of Roald Dahl's most cherished books, but in this animated adaptation the magic just isn't there. This version remains pretty faithful to Dahl's original story so one can't lay the blame on John Hambley's script. If anything "
tt0096880,Balance,1,Included: structured and semantic conditions match.,"This film was the recipient of the 1990 Academy award for Best Animated Short Film. Over the last few weeks, I have seen dozens of the nominees and recipients of this award from the last 30 years and I really think that this film might just"
tt0104534,"It's Christmastime Again, Charlie Brown",1,Included: structured and semantic conditions match.,"This does give away some of the plot, by the way. A Charlie Brown Christmas is one of those timeless classics that teach you the value Christmas and just enjoying the holiday. This, however, does not. It tries to capture the emotion of A Ch"
tt0167285,The Mind's Eye,1,Included: structured and semantic conditions match.,"This movie was strange... I watched it while ingesting a quarter of psilcybe cubensis (mushrooms). It was really weird. Im pretty sure you are supposed to watch it high, but mushrooms weren't enough. I couldn't stop laughing.. maybe lsd wou"
tt0169414,Arthur,1,Included: structured and semantic conditions match.,"This programme bugs me! There is no humour to it and is far too serious to be called ""fun""! It's just far too educational for my liking! The characters are very stereotyped and unappealing. The plots are redundant and the morals are just re"
tt0311618,A Tree of Palme,1,Included: structured and semantic conditions match.,"The teasers for Tree of Palme try to pass it off as a sort of allegory for a fairy tale with actual meaning, then immediately start raving about the animation. I should have known what that meant.  The main character, Palme, is a good examp"
tt0338130,Inspector Gadget's Last Case: Claw's Revenge,1,Included: structured and semantic conditions match.,"Inspector Gadget was probably my all-time favorite 80's cartoon. I enjoyed both the first and second seasons of the series as well as 1992's Christmas special ""Inspector Gadget Saves Christmas"". Some Gadget fans are quick to criticize the s"
tt0354690,Lady Death,1,Included: structured and semantic conditions match.,"There's really no way to beat around the bush in saying this, Lady Death: The Motion Picture just plain sucks. Aside from the fact that the main character is a well endowed blonde running around Hell in a leather bikini with occasional spur"
tt0361179,Father of the Pride,1,Included: structured and semantic conditions match.,"It was 9:30 PM last night at my friend's camping trailer and we were so hyped to watch South Park (a new episode). The thing is, in my country, South Park airs at 10:30 PM and we decided to kill time by watching the show now airing, Father "
tt0419326,Foster's Home for Imaginary Friends,1,Included: structured and semantic conditions match.,"I think this cartoon is one of the worst cartoons I have ever watched. I would recommend this cartoon to people who are under 5. I did used to like this show when I was 4 and 5, I still only watched it when there was nothing on. Now I am ot"
tt0480586,Tachigui: The Amazing Lives of the Fast Food Grifters,1,Included: structured and semantic conditions match.,"OK, I am not Japanese. I do know a little about Japanese culture, and a little less about Japanese pop culture. Other than that, I am Spanish, I eat paella and I like black humor.  Good, with that point set, I can comment on the movie: I ha"
