product_id,title
B01988BFSU,VK Women Rose Print Lace Chiffon Scarf Shawl Wrap Cappa Muffler Black
B01G0G3RL6,Lightweight Spring Infinity Loop Scarf(Yellow)
B01H0BN0ZS,"Celtic Knot Scarf 70"" x 14"" Eire Green Wool & Chenille"
B00MS58EH6,Sheep Print Design Scarves for Women Lightweight Large Size Scarf (Denim blue)
B00J8AH3FS,Womens Scarf Soft Sheer Style C-Green
B00BA1KHUG,fashion2100 Fabulous Large Soft Double Layer Jacquard Paisley Print Pashmina Scarf Shawl
B00PRRKF4C,"Simplicity Unisex Soft Knit Dual Tone Infinity Loop Scarf, Dark/Light Grey"
B00M2CX9KC,"Simplicity Soft Crochet Knit Warm Winter Infinity Circle Scarf , Dark Gold"
B00GB5KEIQ,Elegant Solid Color Pashmina Scarf (Teal Green)
B015K193WY,Sumolux Winter Kids Warm Fox Animal Hats Knitted Coif Hood Scarf Beanies for Autumn Winter
B016COE8M8,"Women's Tunic Top Set - Teal Lace Three Piece Outfit - Shirt, Vest, And Scarf - Large"
B0161N65M6,Belle Donne Women's Trendy Soft Houndstooth Square Shawl Scarf - Black Grass Green
B00A2CN9NQ,FUR ANIMAL HATS HOODS CAT KITTY PINK WITH MITTENS UNISEX GLOVES SCARF WITH PAWS
B00OZA0ITY,Dark Purple Long Fabric Resin Pendant Shawl Scarf Necklace H95K09
B00NUGDE4U,HUE21 Women's Thick Cable Knit Infinity Scarf One Size Grey
