movie_id,source_row,title,year,runtime,genres,structured_match,semantic_label,ground_truth,annotation_source,evidence_excerpt,annotation_rationale
tt0024675,6998,Today We Live,1933,113,"Drama,Romance,War",True,True,1,deterministic case-insensitive lexical policy over IMDb review text,"My wife and I thought that with this cast and director, the movie would have to be at least worth watching. We were wrong. In fact, we gave up on it after 45 minutes. The idea that Crawford, Young and Tone are British but speak with America",Included: structured and semantic conditions match.
tt0027630,543,Follow the Fleet,1936,110,"Comedy,Musical,Romance",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"Despite being a huge fan of Fred Astaire and Ginger Rogers' movies, it wasn't until about 6 years ago that I first saw 'Follow the Fleet'. I knew all the songs from an old Astaire/Rogers record (yes, vinyl) but knew nothing of the plot.  Un",Excluded by semantic condition.
tt0033105,336,Strange Cargo,1940,113,"Adventure,Drama,Romance",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"Hollywood always had trouble coming to terms with a ""religious picture."" Strange Cargo proves to be no exception. Although utilizing the talents of a superb cast, and produced on a top budget, with suitably moody photography by Robert Planc",Excluded by semantic condition.
tt0035829,299,Du Barry Was a Lady,1943,101,"Comedy,Musical,Romance",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"  The main question I pose concerning this film is, how do you film a cole porter musical and only use 3 of his 15 songs! merman and lahr played the lead roles on broadway, here they are replaced by the weaker red skelton and lucille ball. ",Excluded by semantic condition.
tt0050599,414,Kiss Them for Me,1957,105,"Comedy,Romance",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"While I recently gave OPERATION PETTICOAT a positive review, I really didn't like this film even though it had so many similarities. Both were made just a few years apart, both starred Cary Grant and both were WWII comedies. However, the ov",Excluded by semantic condition.
tt0061834,242,I Am Curious (Yellow),1967,121,"Drama,Romance",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"""I Am Curious: Yellow"" is a risible and pretentious steaming pile. It doesn't matter what one's political views are because this film can hardly be taken seriously on any level. As for the claim that frontal male nudity is an automatic NC-1",Excluded by semantic condition.
tt0066449,482,There's a Girl in My Soup,1970,96,"Comedy,Romance",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"Annoying, static comedy with a painfully miscast Peter Sellers as a smarmy, self-centered Casanova who always has his way with the ladies. A major blemish on Sellers' filmography, and, even worse, a film that seems to have been made solely ",Excluded by semantic condition.
tt0067328,106,The Last Picture Show,1971,118,"Drama,Romance",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"I gave this movie a very fair chance, and it betrayed me. This is very little more than a black and white excuse to bore the hell out of the audience even as the egotist Bogdanavich (who did way better with TARGETS) gets ""great performances",Excluded by semantic condition.
tt0071198,203,The Bat People,1974,93,"Horror,Romance",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,The movie is just as fun as staring at the sun.Sheriff Pataki is a total retard that loves nothing better to do than sit on his fat rear making a smoke ring from his puffy cigars and drinking booze while the doctor acts like a zombie versio,Excluded by semantic condition.
tt0075774,3239,Bobby Deerfield,1977,124,"Drama,Romance",True,True,1,deterministic case-insensitive lexical policy over IMDb review text,"One of the most peculiar oft-used romance movie plots is this one: A seriously messed-up man falls in love with a terminally ill woman, who turns his life around before dying. Occasionally this story is done well and realistically (as in ""T",Included: structured and semantic conditions match.
