movie_id,title,ground_truth,annotation_rationale,evidence_excerpt
tt0024675,Today We Live,1,Included: structured and semantic conditions match.,"My wife and I thought that with this cast and director, the movie would have to be at least worth watching. We were wrong. In fact, we gave up on it after 45 minutes. The idea that Crawford, Young and Tone are British but speak with America"
tt0075774,Bobby Deerfield,1,Included: structured and semantic conditions match.,"One of the most peculiar oft-used romance movie plots is this one: A seriously messed-up man falls in love with a terminally ill woman, who turns his life around before dying. Occasionally this story is done well and realistically (as in ""T"
tt0093565,Moonstruck,1,Included: structured and semantic conditions match.,"Generally over rated movie which boasts a strong cast and some clever dialog and of course Dean Martin songs. Problem is Nicholas Cage, there is no chemistry between he and Cher and they are the central love story. Cher almost makes up for "
tt0110099,I.Q.,1,Included: structured and semantic conditions match.,"Tim Robbins is oddly benign here, cast as a garage mechanic in 1950s New Jersey who falls in love with a perky blonde who turns out to be Albert Einstein's niece! Although he's on-screen much of the time, Robbins cancels out the inner-worki"
tt0116191,Emma,1,Included: structured and semantic conditions match.,"Bah. Another tired, desultory reworking of an out of copyright work never designed to be filmed.  On the plus side, Toni Collette is superb as always (being an actual actress, you see), and there are some nicely handled handover cuts betwee"
tt0250202,All Over the Guy,1,Included: structured and semantic conditions match.,I thought this was a truly awful film--I found myself actually yelling at my tv a couple times. One or both of the gay male leads was miscast; there was absolutely no chemistry between them and Richard Ruccolo looked like he'd rather be kis
tt0265029,America's Sweethearts,1,Included: structured and semantic conditions match.,"In fact, it never was. I'm not sure why Billy Crystal wanted to recreate a 1940s screwball comedy. What a vacuous shambles! None of these people come close to a Cary Grant, Spencer Tracy, Katherine Hepburn, etc, and anyway, today's audience"
tt0384814,Ask the Dust,1,Included: structured and semantic conditions match.,The 1930' were a golden age of Los Angeles with its film industry and great potential of various other possibilities to become rich and famous and happy. People were arriving there hoping to fulfill their dreams. Expecting open arms and wel
tt0473500,Kettle of Fish,1,Included: structured and semantic conditions match.,"For the life of me I can't understand the good reviews on this piece of crap. It was pointless. Matthew Modine was horribly miscast as a leading ladies man. Gina Gershon, well, others have said it, but I'll reiterate, why the stupid accent?"
tt0765447,Evening,1,Included: structured and semantic conditions match.,"The story of a woman (Ann) on her death bed, her two daughters (Nina and Constance) and her thoughts about her past. The flashbacks are concerning a weekend where young Ann is in the wedding of her friend Lila. At the wedding she meets Harr"
tt0844330,Persuasion,1,Included: structured and semantic conditions match.,I am a huge Jane Austen fan and I ordered the movie from Amazon.UK just so I could see it without waiting forever for it to come to the U.S. I really should have saved my money. What is with Anne running after Wentworth? The whole point of
tt0974629,Safe Harbour,1,Included: structured and semantic conditions match.,This is a typical Steele novel production in that two people who have undergone some sort of tragedy manage to get together despite the odds. I wouldn't call this a spoiler because anyone who has read a Steele novel knows how they ALL end.
