movie_id,title,director,year,runtime,genres
tt0024675,Today We Live,"Howard Hawks, Richard Rosson",1933,113,"Drama,Romance,War"
tt0027630,Follow the Fleet,Mark Sandrich,1936,110,"Comedy,Musical,Romance"
tt0033105,Strange Cargo,Frank Borzage,1940,113,"Adventure,Drama,Romance"
tt0035829,Du Barry Was a Lady,Roy Del Ruth,1943,101,"Comedy,Musical,Romance"
tt0050599,Kiss Them for Me,Stanley Donen,1957,105,"Comedy,Romance"
tt0061834,I Am Curious (Yellow),Vilgot Sjöman,1967,121,"Drama,Romance"
tt0066449,There's a Girl in My Soup,Roy Boulting,1970,96,"Comedy,Romance"
tt0067328,The Last Picture Show,Peter Bogdanovich,1971,118,"Drama,Romance"
tt0071198,The Bat People,Jerry Jameson,1974,93,"Horror,Romance"
tt0075774,Bobby Deerfield,Sydney Pollack,1977,124,"Drama,Romance"
tt0091065,Teenage Dream,Paul Lynch,1986,90,"Drama,Romance,Sport"
tt0093565,Moonstruck,Norman Jewison,1987,102,"Comedy,Drama,Romance"
tt0099165,The Bonfire of the Vanities,Brian De Palma,1990,125,"Comedy,Drama,Romance"
tt0102340,Love Crimes,Lizzie Borden,1992,90,"Romance,Thriller"
tt0106753,Doppelganger,Avi Nesher,1993,104,"Horror,Romance,Thriller"
tt0110099,I.Q.,Fred Schepisi,1994,100,"Comedy,Romance"
tt0116191,Emma,Douglas McGrath,1996,120,"Comedy,Drama,Romance"
tt0116684,Jane Eyre,Franco Zeffirelli,1996,112,"Drama,Romance"
tt0119453,A Merry War,Robert Bierman,1997,101,"Comedy,Drama,Romance"
tt0120613,A Walk on the Moon,Tony Goldwyn,1999,107,"Drama,Romance"
tt0158653,Coming Home,Giles Foster,1998,101,"Drama,Romance,War"
tt0161219,Advice from a Caterpillar,Don Scardino,1999,90,"Comedy,Drama,Romance"
tt0180303,If You Only Knew,David Snedeker,1999,107,"Comedy,Romance"
tt0182295,Love's Labour's Lost,Kenneth Branagh,2000,93,"Comedy,Musical,Romance"
tt0240890,Serendipity,Peter Chelsom,2001,90,"Comedy,Romance"
tt0245407,Crush,John McKay,2001,108,"Comedy,Drama,Romance"
tt0250202,All Over the Guy,Julie Davis,2001,95,"Comedy,Romance"
tt0253840,The Triumph of Love,Clare Peploe,2001,112,"Comedy,Romance"
tt0259054,Ordinary Sinner,John Henry Davis,2001,91,"Drama,Romance"
tt0265029,America's Sweethearts,Joe Roth,2001,102,"Comedy,Romance"
tt0318276,Adrenaline,Roel Reiné,2003,97,"Crime,Drama,Romance"
tt0367245,Wuthering Heights,Suri Krishnamma,2003,90,"Drama,Musical,Romance"
tt0378947,Melinda and Melinda,Woody Allen,2004,99,"Comedy,Drama,Romance"
tt0384814,Ask the Dust,Robert Towne,2006,117,"Drama,Romance"
tt0401711,"Paris, Je T'aime","Olivier Assayas, Frédéric Auburtin, Gurinder Chadha, Sylvain Chomet, Ethan Coen, Joel Coen, Isabel Coixet, Wes Craven, Alfonso Cuarón, Gérard Depardieu, Christopher Doyle, Richard LaGravenese, Vincenzo Natali, Alexander Payne, Bruno Podalydès, Walter Salles, Oliver Schmitz, Nobuhiro Suwa, Daniela Thomas, Tom Tykwer, Gus Van Sant",2006,120,"Comedy,Drama,Romance"
tt0407269,The Truth About Love,John Hay,2005,100,"Comedy,Romance"
tt0473500,Kettle of Fish,Claudia Myers,2006,97,"Comedy,Romance"
tt0765447,Evening,Lajos Koltai,2007,117,"Drama,Romance"
tt0844330,Persuasion,Adrian Shergold,2007,93,"Drama,Family,Romance"
tt0974629,Safe Harbour,Bill Corcoran,2007,103,"Drama,Romance"
tt0034613,The Corpse Vanishes,Wallace Fox,1942,64,"Horror,Sci-Fi"
tt0034882,I Married an Angel,"W.S. Van Dyke, Roy Del Ruth",1942,84,"Comedy,Fantasy,Musical"
tt0035573,A Yank in Libya,Albert Herman,1942,67,Drama
tt0038621,House of Horrors,Jean Yarbrough,1946,65,"Adventure,Crime,Drama"
tt0044070,Starlift,Roy Del Ruth,1951,103,"Comedy,Drama,Music"
tt0046951,Elephant Walk,William Dieterle,1954,103,"Adventure,Drama"
tt0049966,Written on the Wind,Douglas Sirk,1956,99,Drama
tt0051406,Bell Book and Candle,Richard Quine,1958,106,"Comedy,Drama,Fantasy"
tt0065911,Jane Eyre,Delbert Mann,1970,110,Drama
tt0068053,Bridget Loves Bernie,"Richard Kinon, Lee Philips, Ozzie Nelson, James Sheldon, Hal Cooper, Alan Rafkin, Coby Ruskin, Ezra Stone, Bill Bixby",1972,30,Comedy
tt0068509,"Drive, He Said",Jack Nicholson,1971,90,"Comedy,Drama,Sport"
tt0075265,A Star Is Born,Frank Pierson,1976,139,"Drama,Music,Romance"
tt0077351,Coach,Bud Townsend,1978,100,"Comedy,Sport"
tt0078843,The Bell Jar,Larry Peerce,1979,107,"Biography,Drama"
tt0079672,Opening Night,John Cassavetes,1977,144,Drama
tt0085037,Jane Eyre,Julian Amyes,1983,28,"Drama,Romance"
tt0087803,1984,Michael Radford,1984,113,"Drama,Sci-Fi"
tt0089308,Howling II: ... Your Sister Is a Werewolf,Philippe Mora,1985,91,"Horror,Thriller"
tt0093176,Hello Mary Lou: Prom Night II,Bruce Pittman,1987,97,"Horror,Thriller"
tt0093629,A Nightmare on Elm Street 3: Dream Warriors,Chuck Russell,1987,96,"Fantasy,Horror"
tt0093978,A Chinese Ghost Story,Siu-Tung Ching,1987,98,"Action,Fantasy,Horror"
tt0097029,Catch Me If You Can,Stephen Sommers,1989,106,"Action,Comedy,Drama"
tt0097081,Collision Course,Lewis Teague,1989,100,"Action,Comedy,Crime"
tt0098525,True Blood,Frank Kerr,1989,100,"Action,Drama"
tt0098924,TaleSpin,"Jamie Mitchell, Robert Taylor, Larry Latham, Ed Ghertner, James T. Walker",1990,30,"Action,Adventure,Animation"
tt0102175,Jungle Fever,Spike Lee,1991,132,"Drama,Romance"
tt0106669,Darkness,Leif Jonker,1993,90,Horror
tt0115994,Curdled,Reb Braddock,1996,88,"Comedy,Crime,Thriller"
tt0116762,Keys to Tulsa,Leslie Greif,1997,113,"Crime,Drama,Thriller"
tt0119173,G.I. Jane,Ridley Scott,1997,125,"Action,Drama,War"
tt0119427,Judaai,Raj Kanwar,1997,167,"Comedy,Drama,Romance"
tt0120742,Major League: Back to the Minors,John Warren,1998,100,"Comedy,Sport"
tt0123385,Artemisia,Agnès Merlet,1997,98,"Biography,Drama,History"
tt0128239,Grey Owl,Richard Attenborough,1999,118,"Biography,Drama,Western"
tt0167456,Thunderbirds,Jonathan Frakes,2004,95,"Action,Adventure,Comedy"
tt0190524,Left Behind: The Movie,Vic Sarin,2000,96,"Action,Drama,Fantasy"
tt0190897,The All-New Popeye Hour,"Ray Patterson, Carl Urbano, George Gordon, Oscar Dufau, Chris Cuddington, Rudy Zamora",1978,60,"Adventure,Animation,Family"
tt0196267,Cruel Intentions 2,Roger Kumble,2000,87,Drama
tt0252133,1st to Die,Russell Mulcahy,2003,180,"Action,Crime,Drama"
tt0254199,CQ,Roman Coppola,2001,88,"Comedy,Drama,Sci-Fi"
tt0272147,Vampires: Los Muertos,Tommy Lee Wallace,2002,93,"Action,Horror,Thriller"
tt0305396,The Crocodile Hunter: Collision Course,John Stainton,2002,90,"Action,Adventure,Comedy"
tt0315327,Bruce Almighty,Tom Shadyac,2003,101,"Comedy,Fantasy"
tt0332452,Troy,Wolfgang Petersen,2004,163,"Action,Adventure"
tt0352394,Hellborn,Philip J. Jones,2003,90,"Fantasy,Horror"
tt0363290,Purple Butterfly,Ye Lou,2003,127,"Drama,History,War"
tt0364986,Ben & Arthur,Sam Mraovich,2002,85,"Drama,Romance,Thriller"
tt0375560,Art Heist,Bryan Goeres,2004,98,"Action,Crime,Thriller"
tt0385004,House of Flying Daggers,Yimou Zhang,2004,119,"Action,Adventure,Drama"
tt0398842,The Celestine Prophecy,Armand Mastroianni,2006,99,"Adventure,Drama"
tt0415141,Mama's Boy,Tim Hamilton,2007,93,"Comedy,Drama"
tt0427038,Carlito's Way: Rise to Power,Michael S. Bregman,2005,100,"Action,Crime,Drama"
tt0444736,The Naked Brothers Band: The Movie,Polly Draper,2005,90,"Comedy,Family,Music"
tt0462570,On Probation,Damián Szifron,2005,112,"Action,Comedy,Crime"
tt0469913,Good Time Max,James Franco,2007,79,Drama
tt0473310,Ram Gopal Varma Ki Aag,Ram Gopal Varma,2007,171,"Action,Adventure,Comedy"
tt0473553,The Tooth Fairy,Chuck Bowman,2006,89,"Horror,Thriller"
tt0478154,Freebird,Jon Ivay,2008,89,Comedy
tt0493424,Attack Force,Michael Keusch,2006,95,"Action,Sci-Fi,Thriller"
tt0783518,Flight of Fury,Michael Keusch,2007,98,"Action,Thriller"
