movie_id,title,ground_truth,annotation_rationale,evidence_excerpt
tt0016104,The Merry Widow,1,Included: structured and semantic conditions match.,"As far as I am concerned this silent version of The Merry Widow is the worst version ever made. There is no tenderness or love or spirituality about this version, it is all macabre, Germanic, sinister nonsense. It reminded me of Nazis falli"
tt0096866,The BFG,1,Included: structured and semantic conditions match.,"The BFG is one of Roald Dahl's most cherished books, but in this animated adaptation the magic just isn't there. This version remains pretty faithful to Dahl's original story so one can't lay the blame on John Hambley's script. If anything "
tt0099578,The First Power,1,Included: structured and semantic conditions match.,People tried to make me believe that the premise of this rubbishy supernatural horror/thriller was inspired by the actual last words spoken by an authentic serial killer (whose name escapes me at the moment). Whilst awaiting his execution i
tt0118537,2103: The Deadly Wake,1,Included: structured and semantic conditions match.,"Shown in Australia as 'Hydrosphere', this incredibly bad movie is SO bad that you become hypnotised and have to watch it to the end, just to see if it could get any worse... and it does! The storyline is so predictable it seems written by a"
tt0160986,Time at the Top,1,Included: structured and semantic conditions match.,"Anyone who loved the two classic novels by Edward Ormondroyd will be disappointed in this film. All the magic and romance have been modernized out of his original story of a girl who does a good deed for a mysterious old lady, and given ""th"
tt0329502,The Poet,1,Included: structured and semantic conditions match.,"Imagine pulling back the mask of a lethal assassin and finding Barbara Cartland there... that's what happens with this film.  The opening showed promise, but soon it drops all pretenses of being a thriller (or even an imaginative love story"
tt0361670,The Great Journey,1,Included: structured and semantic conditions match.,"The movie is basically a boring string of appalling clichés which do not offer a real cross-cultural insight. The Middle Eastern leg of the journey is described in a particularly irritating way: there obviously are mud brick villages, dirt "
tt0369226,Alone in the Dark,1,Included: structured and semantic conditions match.,"Can it ever be said that there are some movies that have no redeeming features whatsoever? Answer: Yes, and this is one of them. After helming the appalling 'House of the Dead' director Uwe Boll has now cast his less-than-talented eye towar"
tt0434964,Gammera the Invincible,1,Included: structured and semantic conditions match.,"With the rising popularity of the now iconic Godzilla series, like with any hit cinema event, there was inevitably going to be a crowd of imitators trying to cash in on the success on the big lizard. With Godzilla came the dawn of a rising "
tt0483200,The Power of Fear,1,Included: structured and semantic conditions match.,"Nikolai Gogol's story ""Viy"" has been filmed again and released to home video in the US via Faith Films.  The original story concerns a priest who has to watch over the body of a witch with only his faith to protect him. Greatly expanded and"
tt0800080,The Incredible Hulk,1,Included: structured and semantic conditions match.,I had somewhat high hopes for this since I like Tim Roth. I was not pleased with this film. I liked the Ang Lee The Hulk a few years back so I figured this would have more of a bang to it. First I was very disappointed with John Hurt's perf
tt0888019,Five Across the Eyes,1,Included: structured and semantic conditions match.,"I'm dumbfounded. Yes that's right. I'm really caught here. No way did I find it awful, but on the other hand it was a frustrating experience in macabre hysterical and murky incoherency. The idea behind such a trim, minimal low-budget Indie "
