movie_id,title,director,year,runtime,genres
tt0104997,South Beach,"Fred Williamson, Alain Zaloum",1993,93,"Action,Crime,Drama"
tt0105629,Toys,Barry Levinson,1992,118,"Adventure,Comedy,Drama"
tt0106922,Fit to Kill,Andy Sidaris,1993,97,"Action,Crime,Drama"
tt0107302,Kalifornia,Dominic Sena,1993,117,"Crime,Drama,Thriller"
tt0116061,Death and the Compass,Alex Cox,1992,86,Drama
tt0116499,Have You Seen My Son,Paul Schneider,1996,120,Drama
tt0118254,Ally McBeal,"Mel Damski, Jonathan Pontell, Bill D'Elia, Arlene Sanford, Michael Schultz, Billy Dickson, Jeannot Szwarc, Dennie Gordon, Rachel Talalay, Bethany Rooney, Arvin Brown, Peter MacNicol, Alex Graves, Kenny Ortega, Thomas Schlamme, Sandy Smolan, Allan Arkush, Elodie Keene, Vincent Misiano, Joanna Kerns, Jack Bender, David Grossman, Oz Scott, Daniel Attias, James Frawley, Victoria Hochberg, Joe Napolitano, Jace Alexander, Dennis Dugan, Jeremy Kagan, Tom Moore, Adam Nimoy, Ben Lewin, Bryan Gordon, Barnet Kellman, Michael Lange, Alan Myerson, Adam Arkin, Greg Germann, Ron Lagomarsino, Sarah Pia Anderson, Steve Gomer, David Semel",1997,45,"Comedy,Drama,Romance"
tt0119653,Men,Zoe Clarke-Williams,1997,92,Drama
tt0119792,Nil by Mouth,Gary Oldman,1997,128,Drama
tt0120706,The General,John Boorman,1998,124,"Biography,Crime,Drama"
tt0127901,Starstruck,John Enbom,1998,90,Drama
tt0132905,No One Writes to the Colonel,Arturo Ripstein,1999,122,Drama
tt0164877,"Sexo, pudor y lágrimas",Antonio Serrano,1999,109,"Comedy,Drama"
tt0199650,Jill Rips,Anthony Hickox,2000,94,"Drama,Thriller"
tt0244684,No One Sleeps,Jochen Hick,2000,108,"Drama,Mystery,Romance"
tt0301924,Ten Tiny Love Stories,Rodrigo García,2002,96,Drama
tt0306597,Brother to Brother,Rodney Evans,2004,94,Drama
tt0328031,King of the Ants,Stuart Gordon,2003,102,"Crime,Drama,Thriller"
