tconst,review
tt0169621,"Good performances can't save this terrible script, larded with every cliche in the chick-flick book. Both main characters are deeply unsympathetic, and the scene where Laura Linney's character reminisces about sex with her dead husband in front of her teenage son -- which I think is supposed to be poignant -- is just horrifying."
tt0188453,"This film's trailer interested me enough to warrant renting the DVD. However, the resulting movie is absolutely dire! Admittedly, this is not the worst film ever made, or the worst film this year, but it came damn close!<br /><br />The main issue is the film not knowing what it wants to be: comedy, adult drama, thriller, teen-porn? The story is interesting, as it deals with the pitfalls of mail-order brides, but the film is a mess. What starts out as a mildly interesting ""comedy"" (a word I use in the loosest possible terms), then goes totally in reverse, and degenerates into a very dark and distasteful misogynistic thriller. Nicole Kidman should know better, and Ben Chaplin is wasted! As are Matthieu Kassovitz and Vincent Cassel, whom I can only presume did this for the money.<br /><br />This is a bad film in pretty much every single aspect. It's not funny, it's almost so sexist that you could almost forgive Benny Hill for everything he did, and the dramatic elements are just downright nasty. A film to be avoided, unless you absolutely have to see Kidman or Chaplin in every one of their films!"
tt0193537,"It makes the actors in Hollyoaks look like the Royal Shakespeare Company. This movie is jaw dropping in how appalling it is. Turning the DVD player off was not a sufficient course of action. I want to find the people responsible for this disaster and slap them around the face. I will never get that time back. Never. How is it possible to create such a banal, boring and soulless film? I could not think of a course of action that would relieve the tedium. Writing the required ten lines is incredibly difficult for such a disgraceful piece of cinema. What more can you say than reiterate how truly awful the acting is. Please avoid."
tt0207051,"We went to the movie with a group because the play we were going to was cancelled. It is without doubt one of the worst movies ever. It is not that i don't like cult-movies I do. But nothing happens in the film. One does not feel any connection with the characters whatsoever. endless times without dialog. And the car. How do thay carry a huge tent and beds chairs and clothing for every day in that car? It is a two seater! I have to say however the scenery is beautiful, but not in a movie, the director should have made a photoshoot of the movie, so that we could skip about 80 minutes of useless time in with nothing happens anyway.<br /><br /> I would not recommend it, as it is a waste of your time"
tt0216196,"This may actually be the worst movie that I have ever scene. Incoherent would be a compliment. Even the end made no sense but it was a tremendous relief that it was finally over. I watched it with a kind of fatalistic fascination to see if it could continue to deteriorate and it did. By the end of this mess I was sorry any of the characters survived and I wasn't feeling too charitable about the actors either.If you want to watch a train wreck, I recommend hanging out at a train station. Even waiting on a deserted train platform beats this mess. Apparently I haven't vented enough to fill up my prescribed ten lines so, at the risk of redundancy, I will say it one more time. This movie is a zero and it would be less if I had a word for an even lower rating. How about minus zero?"
tt0221809,"It's about time we see a movie that stays unbiased towards these old Indian traditions. At times it is clear how most of the 'doctors' are charlatans, even lying about how they don't charge their clients. While they are wearing their gold watches, the 'donation' box is mandatory. Notice that there are only a couple of people who get 'cured' while we see quite a few cases.<br /><br />Keep in mind while watching that ingesting mercury is not toxic and that the smallest Indian bank note is 5 rupee, while the average salary in India is 1,700 ru/month."
tt0229003,"I came to NEW PORT SOUTH expecting a surrogate movie about the Columbine school massacre similar to Gus Van Sant's ELEPHANT and certainly the synopsis in the TV guide stating that a student sociopath rebels against the system did give me that impression but this is a very boring movie where little happens so consider yourself warned <br /><br />The story is about Maddox , a Chicago high school student who decides to strike back at what he perceives to be an authoritarian regime . The major problem is that the character is underwritten and the actor who plays him Blake Shields is unable to embellish any script deficiencies . You have the gut feeling that Maddox should have the evil charisma of Hitler , Saddam or Bin Laden but he never comes across as anything more than a petulant truculent teenager and it's impossible to believe he could rally any disciples . The subtext of you overthrow one manipulative authoritarian regime only to replace it with another manipulative regime is too obvious which means NEW PORT SOUTH is an entirely unconvincing drama that's not worth going out of your way to see"
tt0234041,"Cedric Kahn's films have been character-based, rather than action-based (I'm thinking of L'Ennui and Feux rouges) so it is jarring to see this series of really expert car chases interspersed with some plodding attempts to give character to Succo. I don't find Stefano Cassetti to be an interesting actor; he reminds me of pro athletes who are coaxed into movies, like Bret Favre. That blank stare looks like a really vicious deer caught in the headlights. A real actor would have forced us to reflect more on Succo's personality, rather than admiring his skill at carjacking.<br /><br />The little acting there is comes mainly from Isild le Besco as the needy schoolgirl Succo takes by storm. The interview at the police office is a marvel of bland obstinacy with a little fear of the future blended in. Le Besco apart, there is little to recommend this film."
tt0242193,"I was fully amped up to see this film. I had been waiting a year for it to be cleared down here in New Zealand. I shouldn't have built myself up so much because it was so disappointing and is without a doubt Clark's worst film There is so much wrong with this film. First off, some of the acting is great, in particular Nick Stahl as 'The Bully', and the girl with the curly brown hair (I can't recall her name), but most of it was so out of touch and incredibly unbelievable, especially Leo Fitzpatrick. He's a veteran of Clark's films now and he was so brilliant in 'Kids', but in 'Bully' he invests his lines with such solemnity as to turn his scenes into a parody virtually. The screenplay felt like it had been written by a first year film student. No sorry, a high school student...one who has never seen a movie before. And I couldn't fathom Clark's intentions. Was he trying to point out the meaningless of these kids' existence? It sure as hell didn't stop him getting in a damn good perv. I'm no prude but I didn't need to see teenage breasts and buttocks every 5 minutes. I still maintain that Clark's best film is 'Another Day in Paradise'. It's fantastic and I don't think he'll ever top it."
tt0243655,"I was dying to see this once I saw the ridiculous MEATBALLS poster and divined that it had to be the best satire ever. What a brilliant idea for a satire--the genre is rife. Unfortunately, the finished product (as I think all involved probably realize) is a catalogue of missed opportunities, not-quite-there performances and (thankfully!) a few extremely hilarious, inspired bits. Janeane Garafolo, who is very striking, looks really bad here, probably because she is uncomfortably struggling to make her flat role funny. David Hyde Pierce is just sad to watch, trying to hard to be funny and looking like a Castro nerd. Molly Shannon is so funny just SEEING her makes you laugh, but somehow her segment fails to snowball into something hysterical. Paul Rudd had great teen mannerisms and was sexy as hell, the other guys are also really funny (the nerdier ones). I think the problem is the director just doesn't move things along at the right pace. He starts out very deadpan, and that sets the monotone. But when he lets things get really outrageous (the drug sequence is the second funniest moment I've had all year in movies, the first also coming in a lame movie: Andrea Martin in ALL OVER THE GUY complaining about the movie IN & OUT), it's just plain funny. I wanted this movie to work so badly, but it just didn't. The clothes and styling for 1981 are 99.9% PERFECT, and the very few songs used are also perfect. This ends up as a medium-bad MAD TV episode, complete with frustratingly overlong sketches."
tt0245115,"Oh, well, this movie starts off well. It's kinda funny and seems like it could be a fun movie. Then it becomes a bit serious and goes off the rails. It sort of wants to be 'Boogie Nights' but it can't achieve it. If only it stayed with the tone of the first quarter of the film..."
tt0249624,"I almost made a fool of myself when I was going to start this review by saying "" This movie reminded me of BILLY ELLIOT "" but then I looked up the resume of screenwriter Lee Hall only to find out that he was the guy who wrote BILLY ELLIOT so it's Mr Hall who's making a fool of himself not me <br /><br />Am I being a bit cruel on him ? No because Lee has something most other aspiring screenwriters from Britain don't have - He has his foot in the door , he has previously written a successful British movie that won awards and made money at the box office and what does he do next ? He gives the audience more of the same <br /><br />Young Jimmy Spud lives on some kitchen sink estate . He is bullied at school and no one loves him . The only thing keeping him going is that he has aspirations to be a ballet dancer . No actually he has aspirations to be an angel but considering his household he may as well be a ballet dancer . He has a macho waster of a father who thinks "" Ballet dancers are a bunch of poofs while his granddad says "" Ballet dancers are as tough as any man you could meet . I remember seeing the Bolshoi ballet ... "" Yup Ballet is a main talking point on a run down British council estate those days - NOT . Come to think of it neither is left wing politics which seems to be the sole preserve of middle class do gooders who live in nice big houses , so right away everything about this set up feels ridiculously false <br /><br />Another major criticism is that this is a film that has no clue who it's trying to appeal to . I have often criticised Channel 4 for broadcasting movies at totally inappropriate times ( THE LAND THAT TIME FORGOT at 6 am for example ) but they showed this at 2 am and for once they've got it spot on . Considering the story involves politics , ballet dancing ( Gawd I hate it ) lung cancer and poverty there's no way this can be deemed suitable for a family audience but since the main protagonist is an 11 year old child and features angels and ballet dancers ( Don't blame me if I seem obsessed with the subject - there was no need to refer to them ) there's not much here for an intelligent adult audience either . <br /><br />Of course if Lee Hall had been told at the script development stage by the producers that he should write a story featuring a schoolboy and an angel and had flatly refused saying that he wanted to write about other themes and stories then I will apologise but throughout the movie you do get the feeling that once the film was completed it was going to be marketed to the exact same audience who enjoyed BILLY ELLIOT"
tt0250310,"Probably the only thing that got the movie up to a four for me is the fact that I love Peter Falk. One of the world's great portrayers of bumbling incompetence . . . and yet he is one of the only anchors that prevents this from being a chaotic disaster. As Pops Romano, he provides a respectable mix of gangster charm and straight man to Chris Kattan's manic foolishness. Respectable performances are also offered by Richard Roundtree as the harried boss, Vinessa Shaw as a talented female FBI agent bouncing her head off a glass ceiling and Fred Ward as Falk's advisor and Benedict Arnold.<br /><br />The plot concept actually has some wonderful possibilities and, in the hands of a young Steve Martin or Chevy Chase, could have proved a great comedic vehicle. Kattan, who seems to idolize Ernest or Pee Wee Herman, just provides a muddled mess. Sadly, Peter Berg and Chris Penn, who portray his misfit brothers, both fall far short of their proven capability.<br /><br />There are some very funny scenes, but they are far too few and separated by way too many boring ones. What I truly miss here is what always attracted me to the Leslie Neilsen movies. There is no 'second level' of wit riding over the slapstick. No cultural references that only the adults get. . no double entendre. . it is just silly.<br /><br />And, by the way, this doesn't all mean that I am recommending it for your 9-year-old, because hopefully they have better taste and less fascination with some of their body parts and their functions."
tt0250491,"The idea is to have something interesting happening in the first ten minutes to keep the audience hooked. Late Night Shopping manages to avoid interest for much longer than that. When we do get to a point, it is so monumentally moronic that I kept thinking I must have misunderstood it. But I didn't.<br /><br />Sean tells the story of an Osaka landlord who rented the same apartment to two people at the same time who worked different shifts and so didn't realise they were sharing. His friend asks ""But what about the weekends?"" Sean doesn't have an adequate explanation. Sean then tells the story of his own similar problem, which is that he isn't sure his girlfriend is still living at home as he works during the night and she works during the day so they never see each other. This has been going on for three weeks. But his friend doesn't ask: ""Yes, but as I said before, what about the weekends? You must see her then. It doesn't make sense. What are you going on about, Sean? Are you on medication or something?"" But let's be generous and assume that they both work seven days a week.<br /><br />We see Sean checking to see if the soap and towels have been used. (In fact, bizarrely, he starts to carry the soap around with him.) But what about his girlfriend's conditioner and shampoo, sanpro and moisturiser, toothpaste and toothbrush. Let's go to the kitchen. What about food and drink? Is any missing? Has any been bought? In the bedroom, has the shared bed been made or not? Are her clothes being used and exchanged for clean ones? Is the laundry basket fuller? In the toilet, is the seat up or down? I mean, good grief!<br /><br />And to cap it all Paul arranges to leave work early to see if his girlfriend is still living at home. Why doesn't he just phone her?<br /><br />But it gets worse. In the last act although no-one told Vincent where the rest of the group are going he manages to find them. Lenny's love interest and Sean's girlfriend conveniently appear to be best friends and also manage to find the group. There isn't even the slightest attempt to explain any of these extraordinarily unlikely coincidences.<br /><br />To be fair the dialogue is OK but not nearly good enough to make up for the weak characters or annoyingly lame story.<br /><br />I heard one of actors interviewed and he promised ""no guns, no drugs, no corsets."" I thought, ""great"". But after half-an-hour of tedium I was yelling at the screen: ""I want guns! I want drugs! I want corsets!""<br /><br />It wouldn't have taken much to sort these problems out but on the official website the director boasts that the film wasn't script-edited. That's all you need to know."
tt0250739,"This is a film that takes some digesting. On the one hand, we are offered a tough outward shell, a story that does not only derive the Catholic Church, but does so foolishly, and uninformed. On an inner layer, we are offered a story of orthodoxy over orthopraxis, and what happens when people follow blindly a faith that they must not understand.<br /><br />At first glance, it appeared this was supposed to be a comedy. If so, then Mr. Durang needs to open a dictionary, because he clearly does not know the meaning of the word. The jokes are pale; the humor is awkward and poorly delivered. In particular, Ms. Keaton's performance is flighty and over the top, well below the quality of her Annie Hall and Sleeper days. Jennifer Tilly is again the model of stridence, with her hi-pitched voice and whining style. All of this could be forgiven if it weren't for the last 20 minutes of this movie, that evidently was a controversial play made in 1981.<br /><br />***Careful, spoilers ahead***<br /><br />It all starts with the appearance of four former students of Sister Mary Ignatius (Ignatius, by the way, is a male name, and a nun would not adopt it after her vows under any circumstance simply due to that fact, just to show you how much tireless research went into the project to begin with.) When they all admit that they don't live up to the church's teachings, the sister proceeds to become irrational and abuse them in a manner the audience is to believe she did way back when in the corny, all-too-cliché sepia-tone flashbacks. When one of them admits to having two abortions, the nun becomes even more abusive, until the pupil pulls out a gun. After wrestling it away from her, the nun kills the pupil, presumably in self-defense. She then goes on a screaming rampage, killing a gay former student because of his sins. The last shot is of the dead female pupil lying in a Christ-like pose as a shadow of a cross hangs over her. Can you say `heavy handed?' I knew you could!<br /><br />I know there have been abusive nuns in the past, and I know many people have been emotionally harmed as a result, but this imagery is fed down our throats in almost every other shot in this train wreck of a movie. I have heard from the writer and the director that this is a film about hysteria and why one should not follow the orthodoxy so religiously, no pun intended. This explanation is hard to swallow, though, simply because we are never given an authoritative viewpoint that is not biased against the catholic faith in one way or another. This film is simply anti-Catholic tripe, which in the name of fairness and equality, is mean spirited and hateful.<br /><br />This is a film I would recommend for a catholic, namely to awaken him or her to the realities of what cynicism and ignorance they face today. If it were `Rabbi Ray explains it all' or `Imam Muhammad explains it all', there would be rioting in the streets and Showtime would lose all of its subscription. But, sadly, because this is a film that strikes out against what is perceived to be the majority, it is accepted and even applauded by those who share the same spiteful point of view.<br /><br />I certainly hope every member of that cast was a practicing catholic, so it wasn't just ignorance that brought them to make this film.<br /><br />I give it 1.5 stars out of 5, not because of its offensive nature, but because it was poorly written, poorly directed and just a bad movie in general. Don't even waste your time."
tt0253040,"I wouldn't normally write a comment on-line, but this is the worst movie I've ever seen. Not only that it's filmed just like a soap series (""The young and the restless"" is really filmed by professionals compared to this), but it also has awful cuts. It has no action. It is full of useless garbage.<br /><br />Here's an example: a guy wants to kill the main character as he got fired because of him. So (after loads of crap) here they are: the guy puts a knife at his throat and says something like ""You're dead now"". Then the main character says: ""If you kill me you're dead. I've told the police you're threatening me"". So the (killer) guy goes like (just about to cry): ""Oh no... the cops are following me!?!! Oh... my God"".<br /><br />Remember: this is just an example. I really cannot believe this movie actually exists. So: IF you want to see the WORST movie ever... go ahead, I recommend it :)"
tt0255730,"I read Rice's novel with interest, and became quite enchanted with its characters and heartbreaking tale based on historical truths.<br /><br />However, I was simply APPALLED at this disastrous adaptation. The casting was based merely on physical appearance, and not acting talent (with the obvious exception of Peter Gallagher, who was neither blond-haired, or able to act his way out of a wet paper bag). The cast's embarrassingly clumsy and inconsistent attempts at affecting a French accent was hilarious, but not in an entertaining way. I found myself wincing through this muddled and melodramatic tripe, and was surprised I made it to the end.<br /><br />A warning to fans of the novel - stay away from this one."
