product_id,title,brand,category,price,review
B00PIFQU0G,King Ma Women Long Sleeve Turtleneck Chunky Knit Loose Sweater Pullover (beige),King Ma,,,"Love it

Save your money and don't buy this. The color is nasty the fit is horrible. Nothing about the sweater looks like the picture.

Came waaay early, like more than a month early. Also super good quality, perfect size, and REALLY warm. I love it

Good recommend hand wash

It was not sized as pictured. It fits and is cozy, bit not as big and baggy as expected.

Refund, need return label

This sweater is so comfy and warm and definitely fits nicely!!! I'm in love!

I am in love. The sweater is exactly as advertised. Its an over sized, very soft, very comfy, very well made, adorable with laggings and skinny jeans with boots kinda sweater. I am 5'1 and about 125 thick nice and long.. past my bum... and the sleeves have room to spare in length. I'm more than happy. I will order again.

Omg Luv I'm 5'4 130 36 DD ordered a cream I am usually U.S. Size 8 M smells so good too like flowers so soft I'm so happy going to order more for x mas presents also!!! Not happy with the smell of the black one so odd same company I would order the cream & not the black ???

Cheaply made....

I love this!!! It's chunky and warm and very cute. Exactly as pictured

If I could give it 0 stars I would. Bought this for a Sadness Inside Out costume, and what I got was an extremely oversized, scratchy sweater, but that's not the worst part. No matter which way you had it - inside-out or normal - there were huge seams sticking out. On one side it was on the sleaves, and if you turned it inside-out there was a huge seam cutting right through the center of the sweater. Absolutely awful. DONT BUY THIS

Very cheap looking. Fits kind of strange.

I love it very fast shipping

It is meant to be large and cuddly and very soft. It fits the bill. I do love this company. Very inexpensive and well made.

I never wore it. Has this HUGE collar and the collar has a seam like it was seen inside out.

Sweater arrived all wet. It is also very scratchy and uncomfortable. Nothing like the picture. Very bulky but smaller thank it looks in the picture.

Very warm.

Too big I need small size

Its good quality, and fit just how I like it. But its to warm, I get hot and sweaty after wearing it a little bit. Very thick"
B013Y6OON0,SheIn Women's Fall Grey Off the Shoulder Crop Scarf Sweater,,,,"Aweful- cheesy- looks nothing like picture- I am a size2-4 and it looks like a scarf or an oversized sock- and it looks horrible any wat I wear it-

This is a scarf with sleeves! It does not work either... if I try to put it on its super disappointing. I'm average buikd, not big at all... it doesn't fit, my child could wear it though, as she is 6... Ya that's how bad it is. :/

Cant figure out how to put on and look like the picture

I thought it was a real sweater but it still is cute

So, I finally take this out of the packaging excited about the way this may look and it is just a thin strip of cloth (like a scarf) with sleeves. I tried to look past this and put it together but the fullness of the cloth shown in picture is nothing like what I received. It's awkward and I unfortunately did not like this. I am only giving it 2 stars b/c the cloth is thick and the concept is great but the execution was a complete fail.

It's great for someone who is super thin though

They have directions to put this on, but I can't get it to look like the picture. I expected it to come looking this way ad its not it looks like a really long scarf with sleeves. The sleeves were leo really short and tight on me. Not worth buying.

scarf with sleeves... very awkward

Very surprised but this sweater turned out to b very cute.

I thought this was the whole sweater. It is just a wrap like a scarf that has a whole in the middle for your head. It doesn't even come down over the chest area. Very disappointed!

NO instruction on how to put it on, and fit very small, could not get it to fit comfortably at all.

Lesson learned . . . Never forget to read the reviews! Now, I'm adding my perspective. (1) HORRIBLE fit. I'm average size and can't even get my arms all the way through. And to the girl who described the look as ""T-Rex arms,"" you couldn't have come up with a more perfect description!!!! Not to mention that you'll look and feel absolutely ridiculous!!! (2) The photo suggests a graceful lay on the arms and shoulder - not true! You put it on a you look like you just bunched up an old sweatshirt and wrapped it around your shoulders. (3) In the photo, the grey looks like a lovely dove grey. The reality? Kinda like grey gym sweats! And (4) Impossible to raise your arms to elbow level with this thing on!

Not what I imagined but still pretty cool. You can style it in a few different ways. more of a cover than an actual sweater. I like it, very different

Eh, wish I read the reviews. I can get it to work but it's just a scarf with sleeves. Save your money.

Anyone larger than a size 3 will not have desired effect. And if you do happen to be any larger you can attain the look at the cost of movement and comfort. It bites into your arms and doesn't go long enough to wear with anything that doesn't have a very high waist, otherwise the seam or waistband does show and it looks weird. Certainly not even one size fits most.

Size is ridiculously small. I doubt this would fit any one other than a preteen. Fabric is itchy as well.

This was a disaster. 1. Poor quality. Scratchy/Rough. 2. Incredibly small. RUNS VERY SMALL. 3. Spent 2 hours trying to get it on -- WITH help from two other people. Impossible. Returning.

This is not one size fits all. They have to know this. Firstly, the sleeves are tight, so you cannot pull it up far enough to be comfortable. You walk around looking like a t-rex. The sleeve part is a different knit than the ""body"" there is not much stretch there. Secondly, in the photo, it drapes nicely. It does not in the real world. It is not wide enough to drape like that; roughly 16 1/2 inches wide. Even worn off the shoulders it is just not wide enough. This is not designed for an adult,American woman, of average size, to wear. The body of the knit is soft and stretchy and I like the shade of grey, but the edging is uneven and I wonder how long it would hold up after washing and wearing it a few times. That will never be an issue for me, becaus"
B018TE2ZQA,Ugly Christmas Sweater Womens Red Minion Santa Jumper (M/L),Missi,,,I typically wear a large and the medium/large fit nicely. It was a tiny bit itchy around the collar.
B00GNU3R6K,Womens Trendy Crewneck Loose Warm Soft Sweater Pullover Tops (Blue),Ostart,,,"Horrible itchy and smells bad

Smells like chemicals. Cant stsnd to wear it.

Very disappointed when I opened this sweater and saw how tiny it was. A women's large looked like a kids small. It smelled like K-1 fuel too. It would fit my 6-year-old niece, but I wouldn't even give it to her because I wasn't sure why it smelled so bad. Very disappointed in this product.

Cute, but what is the fabric content? What are the washing instructions?

Really nice but was too small.

Good product

when I first took this out of the package, it smelled weird. The sleeves are three quarter length and do not come to wrists. It is very warm."
B00PIEXW2Q,"Oure Women Back Buttons Crewneck Drop Shoulder Knitwear Sweater Top (M, Nude pink)",Oure,,,Not a very good material and fit was horrible. Item was very itchy.
B013FTNEJG,ELLAZHU Women Baggy Map Print Knit Pullover Sweater Onesize SZ194 Grey,ELLAZHU,,,"Very cute. Getting lots of compliments. It's mostly comfortable, but the sleeves are weird and itchy as hell!

I love this sweater. I'm 5'4"" and 130 lbs. and this fits great. It's cute, comfy (but a little itchy when you first put it on), and unique. I definitely want to buy more of these.

It was nice at beginning, after wash, it looks like a mop.

I love the design, great sweater."
B00FGRH4QK,Waltzmart Women's Geometric Knitted Sweater Casual Loose Jumper Pullover Tops,Waltzmart,,,"its terrible

Because it was too small and I couldn't return it so I wasted my money. I ordered a medium and this is not a medium.

I ordered this sweater for my little sis. We got this yesterday. Size is good. It's stretchy (yay! One size!). I agree, it did have some sort of smell. But you can fix that anyways.

I liked this and the fit is good....it's just a little itchy. For the cost, it seems fair but I definitely need a 3/4 length sleeve underneath."
B00EIDUU2I,Ninimour- Women's Long Sleeve Round Neck Knit Loose Pullover Sweater,Ninimour,,,"Bought this for my 14 yr old daughter for Christmas. The sweater was beautiful BUT when I took it from the plastic bag it smelled horrible of mildew or sour laundry! I wash everything before wearing it but didn't know I had to before it was gave as a gift!!!

It's a nice sweater, but when I got it the sweater was wet inside the plastic it was packaged in (not the result of shipping as the outer packaging was dry inside and out). It smelled very musty, but once washed it was perfectly fine. It's very soft.

VERY thick & VERY hot. Better if you live in a colder climate.

Small in sleeves, but not in the body. I usually roll up the sleeves when I wear it. I don't like the feel of it, it's a bit scratchy so I usually wear a collared shirt underneath.

Much too small a small girl would fit into this sweater thought it would be mohair

Adorable sweater, just had a really potent smell when I got it.

Perfect

I bought this sweater about a year ago and figured I should at least leave a review (finally) I am 5'2"" and 90 pounds and the sweater fits a bit smaller than I wanted. I was looking for something oversized and if that's what you want too then don't buy this. That said, it does fit me nicely. The sleeves are a bit short but I have that problem with most long sleeved things. (my limbs are really not proportionate to my body.) It's a bit itchy and I can't remember if mine smelled when I opened it but if it did it clearly washed out. I can't say I'd buy it again but I wear this sweater often and don't regret the purchase.

I like the service of the company that sent it - but not a fan of the sweater material

This sweater is very nice. But when I received it I couldn't wear it I had to put it to wash because it had a really horrible smell. That smell was horrible like if it was in a old storage room for years. But after I washed it, I wore it a couple times.

The sweater is cute but much smaller than I expected. Little hand was so helpful and gave me a refund since it didn't fit. They were very communicative throughout the whole process.

When i got this it DID have a bit of a chemical odor but once you wash it, it comes out! This fits good, and i bought it and was hoping it would be kind of oversized so i could wear it with leggings, and it looks great! I weigh 105, and i am 5'2 but i'm sure it would fit people bigger, or even smaller because i was going for the oversized look when i got this, and it worked as i hoped! I recommend !"
B01A57KPFM,Women Round Neck Button Down Long Sleeve Loose Knit Sweater Jumper Top Grey M,WANGSCANIS,,,Runs small and the cuffs are so itchy. The cuffs also fit funny where they are sewn to the sleeve they are not a flush straight sleeve like you would think
B00PC1P2DC,"Galsang Women's Loose Irregular Wool Sweater Dress with Shawl Collar#853 (M, Dark Gray)",GALSANG,,,"Great dress/tunic. Just make sure to consider the unusual sizing: I wear a 12, large, 38C, broad shoulders, and the ""medium plus"" fit nicely (fitted on top, and loose from the waist down). Very flattering, nice texture (soft in charcoal ). Liked it so much, I just ordered a coffee one! Looks very very nice for the price! I plan to wear with leggings, but definitely can be worn on its own. Nicely surprised! I just wish it would come in more colors...the black is too closed to the charcoal one, and the red looks very brightand on the orange side.

Now this dress is a beauty. it hangs just at my knees and the fit is just as expected. The cut of the bottom is unique. As you can see from photos it has an irregular cut, was unsure how I would like it since its different but I love its cut. That makes it so different from any dress I have and it is stylish. Material is soft. Some sweaters are scratchy, this is not. The dress doesn't itch my skin and is comfy on. I can tell it's a very high end material and made to really get wear from it for a long time. It will keep warm in the winter but not to make you sweet. This dress has a good stretch to it. I don't have a pencil figure, I'm a curved woman and I do like this style on me, even with the irregular cut bottom. The collar bone has a nice round shape. The arms go a little past my wrist and isn't tight at all. I ordered extra large and it is true to size. The dress is classy and would be great to wear to church, weddings and even daily wear. I do recommend. I received this product free to provide my honest and unbiased review. My opinions are me 100%.

I'm only 5'4"" and was concerned it would be too long. It was not too long and fit perfectly."
