movie_id,title,ground_truth,annotation_rationale,evidence_excerpt
tt0069976,Dillinger,1,Included: structured and semantic conditions match.,"Near the beginning, after it's been established that outlaw John Dillinger (Warren Oates), is an egomaniacal rapist, another bandit of the 1930s is cornered in a farm house and surrounded by the FBI. Second-in-command Melvin Purvis (Ben Joh"
tt0075648,Airport '77,1,Included: structured and semantic conditions match.,"Although the production and Jerry Jameson's direction are definite improvements, ""Airport '77"" isn't much better than ""Airport 1975"": slick, commercial rubbish submerging (this time literally) a decent cast. Jack Lemmon is the pilot of a pa"
tt0101764,Double Impact,1,Included: structured and semantic conditions match.,Twin brothers separated at birth (Due to the deaths of their parents) reunite twenty five years later to avenge their parents and take back their million dollar tunnel. Double Impact runs at two hours long and basically adds no real approac
tt0116024,Daraar,1,Included: structured and semantic conditions match.,"Daraar got off to a pretty good start. The first scene really left me at the edge of my seat wondering what would happen next. Other than that, the first half of the movie is a total BORE. All the first half of the movie is about is Rishi K"
tt0172109,Alex l'ariete,1,Included: structured and semantic conditions match.,"This movie was exactly what I expected it to be when i first read the casting. I probably could have written a more exciting plot, it's a pity that they left it to a pack of Howler Monkeys. Alberto Tomba was surely a good skier but he has t"
tt0187078,Gone in 60 Seconds,1,Included: structured and semantic conditions match.,I watched this because I thought there were going to be a lot of car chases and cool cars to gawk at. Guess I was lied to. This movie is very boring.  The movie starts out Kip Raines(Giovanni Ribisi) sitting outside a Porsche dealership che
tt0203408,The Omega Code,1,Included: structured and semantic conditions match.,"I truly wish I was not writing this review. I'm a Christian, so I waited anxiously to see this movie. It seemed great -- a Christian movie with some fairly famous stars and a plot that seemed intriguing (not that I buy the Bible Code itself"
tt0331834,Alive,1,Included: structured and semantic conditions match.,"I'll keep this short, as I know I don't need to say much.  ""Alive"" is a strange little film that obviously appeals to some, but I found it to be shockingly bland from almost the very beginning. The film did very little to make any of the ch"
tt0421054,Domino,1,Included: structured and semantic conditions match.,"Tony Scott destroys anything that may have been interesting in Richard Kelly's clichéd, patchy, overwrought screenplay. Domino Harvey (Kiera Knightley) was a model who dropped out and became a bounty hunter. This is her story... ""sort of"". "
tt0431641,Azumi 2: Death or Love,1,Included: structured and semantic conditions match.,"I loved watching the original Azumi with its mix of live action manga, compelling storyline, cool soundtrack, directing (Kitamura rocks!), editing, and not to mention the beautiful Aya Ueto who filled the part perfectly. So I was really loo"
tt0459744,Blood Gets in Your Eyes,1,Included: structured and semantic conditions match.,"Underneath the dense green glop of computer graphics there gleamed the astounding art and skill of Ichikawa Somegoro. Alas: it got lost in all the goo. The scenes of Old Edo -- with the courtesan, drifting on the Sumida, rehearsing and acti"
tt0995752,Tashan,1,Included: structured and semantic conditions match.,I just saw the movie in theater. The movie has very few good points to talk about. Kareena's beauty and a couple of songs may be. Thats it. The movie is a complete disappointment in all areas. Anyone associated with the movie will be disapp
