product_id,title
B00MQNOS5M,FORAR Women's Original Long Fur Trim Thicken Down Jacket Hooded Parka Beige S
B00MPFCBM8,"Mrignt Men's Thick Crew Neck Knit Cardigan Sweater Jacket(Gray,US XS)"
B00PAMS63G,"Cloudy Arch Women's Winter Coats Hoodies Wool Blend Jackets Oversize ZI277(As Picture,3X)"
B019XIFJBO,"Bluewolfsea Womens Plain Hoodie Zip Top Zipper Sweatshirt Jacket Coat(Green, M)"
B00PBVVF8E,Mrignt Men's Casual Oversize Denim Detachable Hooded Jacket(US XL (Asia 4XL)
B015XTF5U2,"Bluetime Women's Packable Hooded Raincoat Windbreaker Long Jacket Trench Rainwear Coat (XXL, Black)"
B019RX3WLE,Canada Weather Gear Goose Women's Heavy Parka Down Jacket Blk Size 3XL
B015FOT7SG,Meaneor Women's Zip Up Winter Lightweight Outwear Light Down Coat Hooded Jacket Navy Blue
B016DB721E,MNBS Men's Stand Collar Double Breasted Wool Jacket Overcoat Winter Large Grey
B019491I8A,Rising International Inc Women's Earthtone Flower Lined Jacket M
B00U1S2KLI,"Trail Crest Women's Semi-Fitted Full Zip Camo Jacket W/Magnet, 2X, Pink Camo"
B00ADH9PWO,PattyBoutik Women's Collar Zip Up Front Light Jacket (Black XL)
B00GGFMXVC,Cocobla Women's Coat Zip Hoodie Drawstring Trench Jacket (S)
B00NPH8NFO,Columbia Mens Mt. Village Softshell Jacket-Steel Blue-2XL
B00S4YRU02,"Naketano Women´s Zipped Jacket Family Biz III (XL, Berry Melange)"
