movie_id,title,ground_truth,annotation_rationale,evidence_excerpt
tt0028757,A Damsel in Distress,1,Included: structured and semantic conditions match.,"""A Damsel in Distress"" is definitely not one of Fred Astaire's better musicals. But even Astaire's bad films always had some good moments.  In ""Damsel,"" Astaire is Jerry Halliday, an American musical star who is in London on a personal appe"
tt0029588,Something to Sing About,1,Included: structured and semantic conditions match.,"Something to Sing About was produced at Grand National Studios where James Cagney was working while under a contract dispute with the brothers Warner. He did two films for this B studio, neither of which rank high in the Cagney credits.  On"
tt0047813,An Alligator Named Daisy,1,Included: structured and semantic conditions match.,"A 1957 (yes, that's the correct date) J. Arthur Rank production with James Robertson Justice, Margaret Rutherford, Wilfred Hyde White; it has to be a smash comedy, right? Oh, it's just awful. It's a one gag film: watching people be shocked "
tt0049263,The Girl Can't Help It,1,Included: structured and semantic conditions match.,"There are two kinds of 1950s musicals. First you have the glossy MGM productions with big names and great music. And then you have the minor league with a less famous cast, less famous music and second rate directors. 'The Girl Can't Help I"
tt0067546,Pakeezah,1,Included: structured and semantic conditions match.,"This typically melodramatic Bollywood film has inexplicably become a favorite of Western critics. The script is ludicrous, the acting is over-the-top, and it looks cheesy. The only reasons for watching this soap opera are the wonderful song"
tt0088915,A Chorus Line,1,Included: structured and semantic conditions match.,"I saw the original ""Chorus Line"" on Broadway God knows how many times and felt the passion, despair and joy come from this live experience in the theater. Michael Bennett knew he would have to re-imagine ""Chorus"" for the screen but could ne"
tt0090585,Absolute Beginners,1,Included: structured and semantic conditions match.,"""Absolute Beginners"" was a film for the younger generation, a multi-time film that discussed the issues that teens were facing in Britain and how these troubled, constantly hitting each note, teen's problems can relate to the youth of tomor"
tt0371212,Shooting Livien,1,Included: structured and semantic conditions match.,"This is one of the worst movies I've ever seen. I saw it at the premiere at SXSW and was extremely disappointed. The director knew little about John Lennon and even said as much at the premiere. This is a drama, but people were laughing thr"
tt0379307,Greendale,1,Included: structured and semantic conditions match.,"I had the distinct misfortune of catching up on two of 2004's worst films back to back this morning: first, the incoherent CGI-driven emptiness of The Chronicles of Riddick, and then, the embarrassing vanity project known as Greendale. One "
tt0388888,Dig!,1,Included: structured and semantic conditions match.,"Whoa boy.  Ever wanted to watch a documentary about a megalomaniacal jerk ruining his own life and alienating everyone around him? Well they exist, in many forms. But have you ever wanted to watch said documentary about one who didn't ultim"
tt0443489,Dreamgirls,1,Included: structured and semantic conditions match.,We expected something great when we went to see this bomb. It is basically a Broadway play put on film. The music is plain terrible. There isn't one memorable song in the movie -- heard any hits from this movie? You won't because there aren
tt0485272,Salaam-E-Ishq,1,Included: structured and semantic conditions match.,I was so excited and hyped up about watching this film when the promos first came out in November! It looked awesome and the songs! I was quite disappointed when I went to watch it! This is a film which weaves 6 couples together. It has a m
