product_id,title
B00ZFT6W26,"Dazzle Flash® Women's White Gold Plated Austrian Crystal Elements Tennis Bracelet,Wedding Jewelry For Womens -bcw041 (6.25“)"
B00VHKMRB2,Sandistore 2pc Vintage Multilayer Charm Infinity Love Best Friend Wish Wrap Cuff Bracelet
B00WFQJFFI,"Alex and Ani ankh Wrap Rafaelian Gold Finish Bracelet, A10EB062RG"
B00OF92O9W,"Womens Stainless Steel Black Link Extra Strong Four Element Magnetic Bracelet, Link Removal Tool"
B00UJJC0OQ,Beancase(TM) Blue and White Handmade Vintage Anchor and Infinity Leather Wrap Bracelet Unisex
B005CI96GY,Neptune Giftware Dark Brown Leather Cord Surf Wristband Bracelet With Metal Plate Embossed With A Cross - 0050
B01C97Y07K,"Stone Studded Breath of Life Egyptian Ankh Charm Pendant Macrame Bracelet - Clear, Gold-Tone"
B014439LRG,Rose Gold Plated 316L Stainless Steel Hollow Tube Cuff Bangle Bracelet Expandable
B00HJ8JTIU,Prosperity: Symphony of Energy Beaded Stretch Bracelet
B00EBQU1WQ,Les Poulettes Jewels - Cruciani Lace Bracelet 5 Infinity Yellow Color
B00L4YBJRE,Voberry Butterfly Tassel Rose Gold Titanium Steel Chain Women Barefoot Sandals Ankle Bracelet Anklet Foot Chain Jewelry (C)
B0163JGXG6,Punk Rock Anarchy Sign Wristband Vinyl Alternative Bracelet
B00KCDSSV8,Enesco Homefront Girl - Proud Military Mom Paracord Bracelet
B00ZVFQRGK,Inspired Silver Plated Heart Charm Bracelet (White Gold)
B017QVT3G2,"Celokiy Charm Beads Multistrand Black Leather 2 Braided Rope Handmade Bracelet,Adjustable"
