movie_id,title,ground_truth,annotation_rationale,evidence_excerpt
tt0063665,One + One,1,Included: structured and semantic conditions match.,"Firstly, this is a very dated film, non-focused in its exposition of the left wing political revolution. Honestly, when someone says that the only way to be truly revolutionary is to cease to be intellectual ( which in itself is quite nonse"
tt0181817,Sing Faster: The Stagehands' Ring Cycle,1,Included: structured and semantic conditions match.,"I got the DVD from the library in the expectation of getting a good idea of how things go on in the background at a major opera production. I have to say, I was very disappointed. The subject had so much potential. The sets in a Wagnerian p"
tt0190806,The Story of Menstruation,1,Included: structured and semantic conditions match.,"Here is one of those educational short films made to learn the unknown people out there about facts of life. This time the target audience is preteen girls, the fact of life is menstruation. This animated film, created by Walt Disney Pictur"
tt0208570,Why Dogs Smile & Chimpanzees Cry,1,Included: structured and semantic conditions match.,"First of all, yes, animals have emotions. If you didn't know that already, then I believe you are a moron. But let's assume that none of us are morons. We all know that animals have emotions, and we now want to see how these emotions are ma"
tt0312988,Mysteries of Love,1,Included: structured and semantic conditions match.,I'm sorry but I didn't like this doc very much. I can think of a million ways it could have been better. The people who made it obviously don't have much imagination. The interviews aren't very interesting and no real insight is offered. Th
tt0327920,I Am Trying to Break Your Heart,1,Included: structured and semantic conditions match.,"I went into this film with expectations, from the hype, that it would be insightful and uplifting. Certainly something more than a cheap promotional for the band ""Wilco.""  Instead we get a lot of moping and whining about ""the process,"" a di"
tt0368083,Noam Chomsky: Rebel Without a Pause,1,Included: structured and semantic conditions match.,"A documentarist, like any filmmaker, must convey a compelling story. Will Pascoe fails utterly in this effort, cobbling together uninspired snippets of Chomsky's wisdom from a visit to McMaster University in Hamilton. The footage is shot am"
tt0372806,Bright Leaves,1,Included: structured and semantic conditions match.,I was expecting a documentary that focused on the tobacco industry in North Carolina. Instead I watched a man who rues the fact that his great grandfather lost his tobacco empire to the Duke family. And this went on and on. If Mr. McElwee's
tt0399877,What the #$*! Do We (K)now!?,1,Included: structured and semantic conditions match.,"A definite no. A resounding NO. This movie is an absolute dud.  Having been recommended to me by a friend very much into ""that sort of thing,"" I watched this movie with some anticipation of being informed, changed, moved, altered, uplifted,"
tt0433367,Dragons: A Fantasy Made Real,1,Included: structured and semantic conditions match.,"Discovery Channel/Animal Planet must be ashamed of themselves. This Fantasy is modeled after the ""Walking with Dinosuars"" series. Even though this is 100% fantasy it is presented in the same factual and archaeological way. Even mixing the f"
tt0815241,Religulous,1,Included: structured and semantic conditions match.,"I rented this shortly after renting Ben Stein's ""Expelled"" and thought it would interesting to compare them. Before I go further, it seems only fair that I point out the following so a reader can see if I'm prejudiced or not. I'm trying to "
tt0912593,No End in Sight,1,Included: structured and semantic conditions match.,"This is a well made informative film in the vein of PBS Frontline. The problem is, Frontline already did this piece and managed to bring L. Paul Bremer in to tell his side of the story. More troubling is the fact that the director of the fi"
