product_id,title
B00VVHU5NI,Inspired By Pirates of the Caribbean Movies Cursed Aztec Coin Medallion Necklace Skull Necklace New Version (antique brass color)
B00KXT332A,Enjoydeal Fashion Women Lady Necklace Sweater Chain Wood Cross and Leather Strap
B00EJ9GGA6,Fation Lover's Rings Stainless Steel Couple Necklace Promise Forever (One Pair)
B018F02EVY,Xanax Gold Bar Pill Medical Necklace
B00OCA5BQW,Qiyun (TM) Colorful Wide Resin New Fashion Style Women Bib Choker Statement Collar Necklace
B00HC9M0B4,New Retro Camera Photographer Necklace in Black
B006JRLOQM,Diamond Heart & Toggle Necklace in Sterling Silver
B00RV3YCTE,CC Kimico Pendant Necklace Titanium Stainless Steel Matching Set Open Your Heart Couple Necklace
B01E6X4AY8,"Cos2be Cubic Zirconia Faith Hope Love Cross Pendant Necklace,18”"
B01D8OR3BI,"TOTU Stainless Steel Mens Womens Necklace Link Curb Chain Necklace with Bracelet , 10mm Width, 24”/8.5” Length"
B00LGIWXWS,Punk Goth Men Stainless Steel Polished Wing Winged Grenade Bomb Star Pendant Necklace
B0071BRFWM,Stainless Steel Men's Gold Plated Large Cross Necklace on 22 Inch Ball Chain
B011ISH622,Vintage Brass Ball Locket Necklace Secret Message Necklace
B00B2VQCGM,3D Silver Volleyball Necklace
B00TGPBR4I,Flesser Womens Charm Fashion Jewelry Leaves Choker Chunky Statement Bib Collar Necklace Pendant Earring Set (Purple)
