movie_id,title,ground_truth,annotation_rationale,evidence_excerpt
tt0032474,The Flag of Humanity,1,Included: structured and semantic conditions match.,"This was a less than exciting short film I saw between features on Turner Classic Movies recently. While the film popped out due to its very intense Technicolor, the film itself just wasn't that moving and at times the plot looked pretty ch"
tt0052564,The Angry Red Planet,1,Included: structured and semantic conditions match.,"A spaceship returns from Mars; about a couple of months earlier, a 4-person expedition had been sent to the red planet. Most of the picture is a flashback to what transpired over there. The picture is saddled by inane, melodramatic dialog, "
tt0053198,The 400 Blows,1,Included: structured and semantic conditions match.,"This movie bewilders me. It may be that I'm just a stupid American, but I really just don't get 400 Blows. Everything I've read about this movie has been a total rave, but I just couldn't stay interested. I'm sure that it was as revolutiona"
tt0069446,The Master Touch,1,Included: structured and semantic conditions match.,"A not bad but also not so great heist film. Kirk Douglas is a recently released from prison safe-cracker who, after turning down an offer from the Mob, decides to pull the job himself. He recruits circus gymnast Giuliano Gemma. Mayhem ensue"
tt0071477,The Execution of Private Slovik,1,Included: structured and semantic conditions match.,"It was 1974 and it starred Martin Sheen.  That alone says what to expect of this movie.  And it was a movie. According to the movie, Slovik had reformed, got a good woman, and didn't want to fight.  In real life, Slovik may have been a naiv"
tt0083728,Chan Is Missing,1,Included: structured and semantic conditions match.,"I saw Chan Is Missing when it first came out, about four years after moving from San Francisco to New York. Maybe it was the perspective of a few years away, but this movie seemed to capture the essence of the city and its people better tha"
tt0095853,Permanent Record,1,Included: structured and semantic conditions match.,Keanu Reeves stars as a friend of a popular high school student who suddenly commits suicide...he and his friends go through emotional turmoil and share their reactions to this horrible incident...Good acting by Reeves and a young Jennifer
tt0101524,By the Sword,1,Included: structured and semantic conditions match.,Why is it that everyone who has seen this movie feels it is their responsibility to tell us whether or not they are fencers? That point is completely immaterial to any argument to be made against this total dog of a movie.  I think sports m
tt0108000,Ruby in Paradise,1,Included: structured and semantic conditions match.,"Ashley Judd, in an early role and I think her first starring role, shows her real-life rebellious nature in this slow-moving feminist soap opera. Wow, is this a vehicle for political correctness and extreme Liberalism or what?  Being a stau"
tt0118032,Undertow,1,Included: structured and semantic conditions match.,"I sat through this turkey because I hadn't seen it before, and because the premise sounded like it had potential. It was mildly entertaining until the hurricane sequence. At the height of the storm, the wind is strong enough to blow windows"
tt0127207,The Ramrodder,1,Included: structured and semantic conditions match.,"This is an awful film. Yea the girls are pretty but its not very good. The plot having a cowboy get involved with an Indian maiden would be interesting if the sex didn't get in the way. Well, okay it might be interesting, but its not, becau"
tt0751121,Fearful Symmetry,1,Included: structured and semantic conditions match.,"Well, what was fun... except for the fun part.  It's my second least favorite so far, I even thought it was worse than 'Lazarus' and 'Ghost in the Machine'.  Let's start with the good. The teaser, it was incredibly well done and also emotio"
