product_id,title,brand,category,price,review
B00RYC758M,"PajamaJeans Women's Bootcut Stretch Knit Denim Jeans, Mahogany, 3X (24-26W)",,,,"Too small in the darierre area.

I love these. I am a pear/spoon shape. They are snug on my thighs but not too snug, and a little loose in the waist but they have a drawstring on the inside of the waste band so all is good. I have not yet washed them, only tried them on. I will be washing them according to directions and if all goes well I plan on buying at least two more pairs for my capsule wardrobe.

Fits comfortably! Too bad there are not more colors!

LOVE pajama jeans!

Love them!

very pleased

I plan to return them.

My first try at PajamaJeans. They fit way too tight and I ordered according to the chart.

These actually fit great - even a little bit more room in my 2x that I expected. Normally I wear a 20 on the bottom half of me so I thought these might be tight but they are great and the little drawstring helps to tighten them more. LOVE THEM!"
B00VGSQDZQ,Sweet Casual Plus Size Spring Summer Demin Shorts Women Maxi Sexy Jeans Xl,Lucy Calla,,,"comfortable

Despite the advertised size these shorts are several sized too small. They are cute and would be great if they actually fitted.

Could not return also.."
B017ACE1NC,Mavi Women's Adriana Mid Rise Super Skinny Jeans,,,$45.00 - $98.90,"I can't actually confirm the fit because I didn't try them on. The finish on them was awful - cheap looking blue. Nothing like in the photo.

I'm t feet tall. These are right at the top of my foot, I should alter them to have the look iI want. They feel snug at first but loosen up as you wear them. You can go a size down. The dye rubbed off on my undies too. ...not to happy about that.

Best fitting Mavi jeans I've purchased yet! I'm 5""3, and the length is right at my ankles, which is perfect. I love these!"
B017OACZWE,"PajamaJeans Women's Velvet Bootcut Pants, Black G04610",,,,"These are quite slimming! In white! Needed hemming since i'm short but perfectly perportioned otherwise.

I love these pants! They are warm and look nice. They run big and after wearing them for an hour or so they stretch out and become bigger. I spent most of the night pulling them up. I am 5'5"" 172 lbs. I typically wear a size (L) or a 12. I probably should have bought the (M). I wore them on a cold night and they were very cozy

PajamaJeans Bootcut Black Velvet Pants, fit as expected and very comfortable.

I love these but would like for the material too not be so attracted to fuzzies and fur magnets. The waist was a bit loose/baggy but not too bad that it was noticeable.

Fit as expected, and nice fabric. I shortened them to fit me. They were somewhat wrinkled upon arrival, but I was able to iron them inside out, and they are fine. If the seams pucker when washed, I'm sure they can be pressed flat.

Picture is misleading because they are hip-huggers and not as comfortable as they look.

LOVE them.

Fit well and looks good one. True to size."
B00QI4VIWG,Aileen88 Women's Casual Button Closer Lapel Slim Pockets Denim Jeans Skirt Dress,Aileen,,,"Normally a size 14, purchased an XXL. It was extremely small, at 2 sizes too small. Also, poor quality, 2 buttons were missing.

Lived it but way too small. Sent it back the same day"
B00J8OOM8A,Women's Color Skinny Jeggings Stretchy Pants Jeans Soft Leggings,LS,,,"L still too small

These are great. I purchased a large 5'5"" 130#~they are a bit loose but I prefer them that way over too tight.

I read that the sizes of these pants ran smaller in a review, but it was after I ordered the pants. I gave the pants to my daughter who is a lot smaller, I am a 14 and she is a size 7, these pants fit her perfectly. I would recommend that the seller change the size on the pants or decrease the actual sizes on the website that are for sell."
B01H7IGT3O,"Tommy Hilfiger Relaxed Fit Mens Jeans (38x34, Dark Wash)",,,,Bought these for my BF for his birthday. Bought 1 size up and they fit perfect!
B00M53J9SE,"Jeansian Men's Slim Fit Long Sleeves Casual Shirts (Z001_Medium, Purple)",jeansian,,,"very stylist but run small for my size I ordered medium, no room for adjustment

Please check proper order &make customers happy

I give it a 3 star because it came on time and has a really nice design. My son typically wears mens xs small i ordered medium and the sleeves and shirt were short. The second top button fell off when he tried to wear it for the first time. I was disappointed.

Looks nice in the picture. Not to be rude or anythig but the fabric was a little stiff and could be compared to a table cloth.

Great style and print pattern!

This shirt is as well-made as my bed. I'm homeless. Ayyyy

Great shirt

WENT TO SEND IT BACK BUT THE PRICE WAS MORE THEN THE SHART DONOT GET ANYTHING FROM CHINA NEVER IS RIGHT

I liked the shirt it's self I'd recommend as a gift to that special someone; -)

too Small but a cool shirt.

The sleeves and shoulders were tight.

Love it.

nice shirt !

Too small .. I wear a medium and this shirt is like extra small!

I got a lot of complements when I wore the shirt

LOVE, LOVE , LOVE this shirt. Super soft material, Great design, Head turner, I ordered up a size because I didn't want it too tight. I think I got a medium and I'm 5'4'. The sleeves are a little long, but if you roll them up like in the picture they are great! Everyone I've seen while wearing this shirt, is Impressed, and wondering where t get something like that!! Love the Dragon Design, also I usually go with Black or dark Colors other than my Shoes which are Usually Red; The Purple in this shirt is a Great shade!!!!

Feels cheap

It looks and fits great, great purchase for a great price. I gave it as a gift and they loved it. Pay attention to the size chart, I chose the size based on the person height and weight and it fit perfectly. Note that the colors are much brighter and deeper in real life, and the fabric is fresh and really nice, they look and feel much better in person."
B00CFQW0SM,Lee Jeans Riders Women's Knee Length Denim Shorts White With Pink Belt-8M White,,,,"Fit well, took the belt off, and I like the shorts, well made.

I love these shorts. They are very comfortable.

I followed the advice of others saying hey ran small. I normally wear a 6 so I ordered a size 8. Too small and unfortunately they have no more 10. It will cost me to return so I will give them to a friend. Great quality but cut is slim slim slim.

good price and good material

They were a little small...maybe order 1 size up. I lost weight so it worked out ok. I love the way Lee fits and these were no exception.

Other Lee Riders run bigger than these

Perfect fit for me. Fabric is good although, I haven't wash it yet."
B00QG9VZ80,Women Slim Trench Waist Wash Long Sleeve Jeans Denim Mermaid Dress (M),brothship,,,"the product is good ,but it is too small"
