movie_id,source_row,title,year,runtime,genres,structured_match,semantic_label,ground_truth,annotation_source,evidence_excerpt,annotation_rationale
tt0032474,3385,The Flag of Humanity,1940,19,"Biography,Drama,Family",True,True,1,deterministic case-insensitive lexical policy over IMDb review text,"This was a less than exciting short film I saw between features on Turner Classic Movies recently. While the film popped out due to its very intense Technicolor, the film itself just wasn't that moving and at times the plot looked pretty ch",Included: structured and semantic conditions match.
tt0038360,746,Black Angel,1946,81,"Adventure,Crime,Drama",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"""Black Angel"" is minor whodunit, with June Vincent as a woman trying to save her husband from the electric chair after he is found guilty of killing an old acquaintance. Dan Duryea (the husband of the murdered woman) decides to help Vincent",Excluded by semantic condition.
tt0052564,2999,The Angry Red Planet,1959,83,"Action,Adventure,Drama",True,True,1,deterministic case-insensitive lexical policy over IMDb review text,"A spaceship returns from Mars; about a couple of months earlier, a 4-person expedition had been sent to the red planet. Most of the picture is a flashback to what transpired over there. The picture is saddled by inane, melodramatic dialog, ",Included: structured and semantic conditions match.
tt0053198,2512,The 400 Blows,1959,99,"Crime,Drama",True,True,1,deterministic case-insensitive lexical policy over IMDb review text,"This movie bewilders me. It may be that I'm just a stupid American, but I really just don't get 400 Blows. Everything I've read about this movie has been a total rave, but I just couldn't stay interested. I'm sure that it was as revolutiona",Included: structured and semantic conditions match.
tt0062751,976,Boom!,1968,110,"Drama,Thriller",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"""Boom"" has garnered itself a something of a reputation. With heavyweights Taylor, Burton, Noel Coward, Tennessee Williams and Joseph Losey, one might be tempted to think, how bad could it be? Well, it's a lot worse than you could possibly i",Excluded by semantic condition.
tt0063522,974,Rosemary's Baby,1968,137,"Drama,Horror",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"Roman Polanski has made many, many movies that are unexceptional. His fame bewilders me. Nothing stands out as a high point except Chinatown (I haven't seen 'Knife in the Water' or 'Tess'). Any contribution he's made to film concluded more ",Excluded by semantic condition.
tt0066011,839,Love Story,1970,100,"Drama,Romance",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"I love a good sappy love story (and I'm a guy) but when I rented ""Love Story"" I prayed for the end to come as quickly and painlessly as possible and just the opposite for Ali McGraw's character.  Ali McGraw as Jenny alienated and irritated ",Excluded by semantic condition.
tt0068059,990,Colditz,1972,50,"Drama,History,War",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"I just finished a marathon of this series, and it became agonising to watch as it progressed. From the fictionalising of the historical elements, to O'Herlihy's awful accent in later episodes, the show just slumps the further it goes. If yo",Excluded by semantic condition.
tt0069446,3406,The Master Touch,1972,112,"Action,Crime,Drama",True,True,1,deterministic case-insensitive lexical policy over IMDb review text,"A not bad but also not so great heist film. Kirk Douglas is a recently released from prison safe-cracker who, after turning down an offer from the Mob, decides to pull the job himself. He recruits circus gymnast Giuliano Gemma. Mayhem ensue",Included: structured and semantic conditions match.
tt0070592,885,Massacre in Rome,1973,110,"Drama,History,War",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"very badly made film, the action/violence scenes are ridiculous.  1 point for the presence of Burton and Mastroianni + 1 point for the real tragic event of the massacre of the innocent italians: 2/10.",Excluded by semantic condition.
