movie_id,title,ground_truth,annotation_rationale,evidence_excerpt
tt0027687,The Golden Arrow,1,Included: structured and semantic conditions match.,George Brent is a reporter sent to interview an heiress. She is supposedly the heir to a face cream fortune. He interviews her on her yacht. They fall for each other in bathing costumes.  It turns out (quite early) that she is not an heires
tt0041259,A Connecticut Yankee in King Arthur's Court,1,Included: structured and semantic conditions match.,"Although I have enjoyed Bing Crosby in other movies, I find this movie to be particularly grating. Maybe because I'm from a different era and a different country, but I found Crosby's continual references to the Good Old USA pleasant at fir"
tt0053241,Santa Claus,1,Included: structured and semantic conditions match.,"Why such a generic title? Santa Claus??? So bland and unpredictable. Movies before that tried to cash in on the holiday spirit, most notably 'Santa Claus Conquers the Martians', at least was entertaining to watch because of the campiness to"
tt0091993,SpaceCamp,1,Included: structured and semantic conditions match.,"Space Camp, which had the unfortunate luck to be planned around the time of the Challenger accident, deserves such luck. The ""stars"" make a mockery of acting, Lea Thomson actually being turned sideways, when asked for more than her usual wi"
tt0100419,Problem Child,1,Included: structured and semantic conditions match.,"I remember watching this movie several times as a very young kid, and there were parts of it (many in fact) that I did not understand. I think I have seen it once as an adult, and I then understood those parts. The only problem with viewing"
tt0103596,3 Ninjas,1,Included: structured and semantic conditions match.,I remember when this came out a lot of kids were nuts about it. I guess I was a bit too old to get all excited and I was a fan of real martial arts films and always found this a bit cheesy.  In the early 90's we were swamped with programs s
tt0110443,Major Payne,1,Included: structured and semantic conditions match.,"If this is someone's ""favorite"" movie, they need some serious help. There is nothing funny or clever about this crapfest. I haven't seen the original movie this is the remake of (some 1950s film), but it simply has to be better than this ne"
tt0116756,Kazaam,1,Included: structured and semantic conditions match.,"This movie is so, so, so horrible, that it makes angels lose their wings. Shaq had tried to make other crossover efforts, like his work in Shaq-Fu for the NES and his plethora of unbearable rap albums, and later, the epic serving of horribl"
tt0322389,George of the Jungle 2,1,Included: structured and semantic conditions match.,Let me start out by saying this movie has 1 funny point at the very beginning with the exchange between the narrator and George: Narrator:Huh? Wait a minute! Who the heck are you? George: Me new George. Studio too cheap to pay Brendan Frase
tt0485601,The Secret of Kells,1,Included: structured and semantic conditions match.,No need to detail what others have written in other reviews - here goes the summary:   * Much of the nested animation work is downright gorgeous - the colors are superb - would love to have it done in silk as a necktie  * The story and exec
tt0486321,Fly Me to the Moon 3D,1,Included: structured and semantic conditions match.,this is what you would get if you allowed a 10 year old (manic American) to write a story of a moon trip. Absolute garbage with no redeeming qualities Maybe it held some fascination in the 3D dept. but as a narrative and entertaining animat
tt0486583,Fred Claus,1,Included: structured and semantic conditions match.,"My Take: A tired formula Christmas comedy. The laughs are tired and the talents behind it seem to be too.  I love the holidays as much as the next guy (even if I often have a bad case of the holiday blues), but it seems it's just being a du"
