movie_id,title,ground_truth,annotation_rationale,evidence_excerpt
tt0038733,A Matter of Life and Death,1,Included: structured and semantic conditions match.,"I first saw this movie about 20 years ago and have never forgotten it. It's beautifully filmed and the story keeps one riveted for the entire time. It's difficult to believe this was made in 1946, as the tale is still fresh today, and reall"
tt0051406,Bell Book and Candle,1,Included: structured and semantic conditions match.,"Stewart is a distinguished bachelor and a successful executive who is about to marry his fiancée Janice Rule but instead gets involved with a capricious, sensual art dealer (Kim Novak) who turns out to be a Greenwich Village witch Novak de"
tt0070795,A Thief in the Night,1,Included: structured and semantic conditions match.,"I've read most of the comments on this movie. I have seen this movie(and the whole prophecy series) many times with family members of all ages, we all enjoyed and it just made us meditate on what we already knew from reading and studying th"
tt0076299,The Last Wave,1,Included: structured and semantic conditions match.,This supernatural Peter Weir thriller is truly one of the most haunting and fascinating movies ever seen. Richard Chamberlain does his best performance here as the Australian lawyer who defends a group of young Aborigins accused of murder.
tt0098061,Paperhouse,1,Included: structured and semantic conditions match.,"I do miss the company Vestron, they sure had their finger on the pulse of unique and unusual cinema back in the 1980s. This is very apparent with the astonishing Paperhouse, a film that touches me deeply each and every time I watch it.  The"
tt0170016,How the Grinch Stole Christmas,1,Included: structured and semantic conditions match.,"I already loved ""How the Grinch Stole Christmas"" when it was released and I'm still loving it now, 5 years later. Still lots of people seem to disagree with my opinion and this movie never really had received much love at the time it came o"
tt0218891,Cinderella,1,Included: structured and semantic conditions match.,"Bizarre take on the Cinderella tale. Terribly poor script, but Kathleen Turner turns in a pretty decent evil step-mother performance.  Visually stunning in some parts, but that's about it. The period costumes range from the Elizabethan era "
tt0259711,Vanilla Sky,1,Included: structured and semantic conditions match.,"How strange the human mind is; this center of activity wherein perceptions of reality are formed and stored, and in which one's view of the world hinges on the finely tuned functioning of the brain, this most delicate and intricate processo"
tt0286098,Zu Warriors,1,Included: structured and semantic conditions match.,"OK first of all the video looks like it was filmed in the 80s I was shocked to find out it was released in 2001. Secondly the plot was all over the place, right off the bat the story is confusing. Had there been some brief prologue or intro"
tt0298482,Nothing,1,Included: structured and semantic conditions match.,"I watched this as part of my course at Aberystwyth University and it baffles me how this does not have a distributor in the UK. Well actually, it doesn't, because this film is everything a Hollywood film isn't - original, creative, quirky a"
tt0481452,Nightmares & Dreamscapes: From the Stories of Stephen King,1,Included: structured and semantic conditions match.,i usually don't write reviews but i can't understand why this is rated so high and wanted to give a warning to horror lovers since i can only assume that all those high ratings were given by average TV watchers.  i have only watched the fir
tt0734656,The Lonely,1,Included: structured and semantic conditions match.,"This beautifully filmed and scripted episode was let down for two reasons. 1) Perhaps it was the morality of the 1950s talking, but no man left alone on an asteroid for years would react with such hysterical negativity to the gift of a fema"
