tconst,review
tt0020643,"The best Laurel and Hardy shorts are filled to the brim with mishaps, accidents and destruction, mostly caused by Stan, but with Ollie receiving the bulk (!) of the punishment-- see the great 'The Music Box' (1933) or 'Towed in a Hole' (1932) as some some classic examples.<br /><br />Here, however, for some reason (is it because it was based on a sketch by Stan's father?) the boys play it 'straight' in a 'comedy' built around jokes and supposedly funny situations. It doesn't come off. It's merely another third-rate tedious 30s comedy, heightened only by the personalities of Stan and Ollie who never really display any of their trademarked gestures (Ollie's finger wiggling, Stan's blank stares, etc.) or comic abilities.<br /><br />The film begins with them running from the police. Since we never see or know why, it's hard to believe or accept their fear of being caught, and thus hiding in Colonel Buckshot's mansion. The premise for the 'humor', Ollie passing himself off as the Colonel and Stan passing himself off as both the butler and the maid are never very engaging. They are not playing 'Stan and Ollie' in this film. Their parts could have been played by any of the pedestrian studio actors and it would be just as poor.<br /><br />Stan could mime and make whatever he would do funny, but he doesn't get the chance to do any of that here. He's constrained by uttering too much dialog to 'move' the plot, but none of it rises much above the silly. We are treated to endless third rate comedy chestnuts such as the running gag of not correctly pronouncing Lord Plumtree's name, the ""Call me a cab! Okay you're a cab!"" joke, cops losing their clothes and being seen in long johns, and a non-sequiter ending of Stan and Ollie as the two parts in a painfully obvious horse costume as they make their escape on a bicycle for two, and James Finlayson is still doing his silent-era full body takes and Keystone Kop jumping jacks.<br /><br />Stan and Ollie do much better in a situation comedy in 'Sons of the Desert'(1933) where we get to see them do what we love about them -- be themselves. In fact, 1932-34 seem to be their best years.<br /><br />Since this film does not play to any of their strengths, why bother with it? I have to give it a 3."
tt0023753,"This is one of those films that I could only sit through once. Charlotte Henry is fine -- in fact, all the actors were fine. The problem was in the script, the dialog, the direction, the editing, the sets and the special effects. Granted, this was 1933, but it really creaked. Part of the problem is that actors like Richard Arlen, Gary Cooper, W.C. Fields and Cary Grant are not recognizable (there faces cried for a recognition that was not forthcoming). The movie just clumped along with no cohesion. Much of Lewis Carrols spirit, humor and continuity are missing. What a pity! It's such a great book. I would recommend Disney's 1951 version."
tt0026110,"The silent one-panel cartoon Henry comes to Fleischer Studios, billed as ""The world's funniest human"" in this dull little cartoon. Betty, long past her prime, thanks to the Production Code, is running a pet shop and leaves Henry in charge for far too long -- five minutes. A bore."
tt0027687,"George Brent is a reporter sent to interview an heiress. She is supposedly the heir to a face cream fortune. He interviews her on her yacht. They fall for each other in bathing costumes.<br /><br />It turns out (quite early) that she is not an heiress. She part of an advertising campaign for the cold cream.<br /><br />The movie follows the ups and downs of their romance.<br /><br />The supporting cast does little to buoy it up. Davis and Brent carry the picture. Though it's fairly predictable, it is also fairly entertaining. It's far from her best. But, especially considering its obscurity in her oeuvre, it's not one of her worst, either."
tt0038033,"Not even the most ardent stooge fan could possibly like the movie, (I one of them) the stooges just aren't given any material to work with. It is really a shame too because this is the only feature length movie the stooges did with Curly, and this one effort by them is painfully unfunny, when it could have had great potential. Awful musical numbers don't help any either. The short they did with the same title has more laughs."
tt0041259,"Although I have enjoyed Bing Crosby in other movies, I find this movie to be particularly grating. Maybe because I'm from a different era and a different country, but I found Crosby's continual references to the Good Old USA pleasant at first, trite after a while and then finally annoying. Don't get me wrong - I'm not anti-American whatsoever - but it seemed that the English could do no right and/or needed this brave, oh so smart American visitor to show them the way. It's a ""fish out of water"" story, but unlike most movies of this sort, this time it's the ""fish"" who has the upper hand. To be fair to both myself and the movie, I have watched it a few times spaced over a few years and get the same impression each time.<br /><br />(I watched another Crosby movie last night - The Emperor's Waltz - and that, too, produced the same reaction in me. And to my surprise even my wife - who for what's it's worth is American - found the ""in your face"" attitude of American Crosby to be irritating. One too many references to Teddy Roosevelt, as she put it.) <br /><br />As for the premise of the movie, it's unique enough for its day and the supporting cast is of course very good. The scenery and the music is also good, as are the great costumes - although I agree with a previous reviewer that the wig on William Bendix looks horrid (picture Moe of The Three Stooges).<br /><br />All in all for me this would be a much more enjoyable picture without the attitude of Bing Crosby but because he is in virtually every shot it's pretty hard to sit through this movie."
tt0048649,"Friz Freleng's 'Speedy Gonzalez' was the second cartoon to feature the title character after Robert McKimson's 'Cat-tails for Two'. In that cartoon, Speedy has been an ugly little creature with a big gold tooth but by his second appearance the famous design had already been adopted. Despite looking significantly more handsome, Speedy never developed into much of a character. A big hat, tremendous speed and a bad Mexican accent do not a classic character make and that's pretty much all Speedy ever had going for him. Nevertheless, the cocky little mouse proved enormously popular and went on to star in many shorts including some truly abysmal films from the studio's latter days. While these early Speedy shorts are better than those later atrocities in which he was frequently (rather oddly) paired up with Daffy Duck, they still leave much to be desired, relying on predictable gags usually based around a similar chase formula. In this self-titled episode, Speedy is recruited by some other mice to steal cheese for them from the local factory which happens to be guarded by Sylvester the cat. Although he brings the extra weight of a star turn to the cartoon, Sylvester's role here could just as easily been filled by any other generic cartoon cat. His personality is sapped by his being forced into the predictable. undemanding role of pursuer. This was always a problem in the Tweety cartoons too but Speedy makes an even duller adversary thanks to his detestable cockiness and the blatant impossibility of his capture. Poor old Sylvester would be forced to appear alongside Speedy for many years to come. Despite it following a pretty basic formula and featuring minimal laughs, 'Speedy Gonzalez' won an Oscar and a thoroughly undeserving star was born."
tt0053241,"Why such a generic title? Santa Claus??? So bland and unpredictable. Movies before that tried to cash in on the holiday spirit, most notably 'Santa Claus Conquers the Martians', at least was entertaining to watch because of the campiness to it, and all the stock footage being used... for some reason, that seemed happy to me. But this movie just screws Christmas in the butt, and screws the joy of all the kids. Santa lives in space? His enemy is a devil named Pitch? Santa gets help from Merlin the Magician? How random is this!? Well, since it was made in Mexico then some of you might understand the way of how the film was made. I had to admit some of the effects were just wacky for the time. It was a all-out cluster of madness! Though, despite all the troubles with the movie, it still feels like a Christmas movie. Good conquers evil, and Christmas still plays a part of our hearts of every good girl or boy in the world, or possibly universe, thanks to Santa Claus Conquers the Martians.. apparently. So, I think you should give it a try, even if it is one of the worst holiday movies of all time... though it should put a smile on your face any day."
tt0066256,"I hated this show when I was a kid. That was back in the day when kids show characters actually had accents, not just the bland, generic, General American Dialect we're used to. Jack Wild had a British accent and Pufnstuf's was southern. Like one of the others mentioned, though, I never quite understood what the deal was with the witch wanting the flute. That always seemed odd to me, probably because the flute just annoyed me and I wouldn't have gone to any trouble to take it away!<br /><br />Just a comment on the similarity of Pufnstuf to early 70s McDonalds commercials that others have mentioned: Pufnstuf ripped off McDonalds. At the height of McDonalds popularity, the TV show (or rather, their creators) sought to license McDonalds characters for their show, but when McDonalds declined the TV show changed the characters slightly and passed it as their own. They even hired former employees of McDonalds ad agency and the voice actors to make the TV shows. McDonalds sued and won. Search for Pufnstuf McDonaldland lawsuit and you'll find plenty of articles about it."
tt0082778,"Following the success of the (awful) Gilligan's Island TV movie reruns, a number of TV movies were made in the 1980's reuniting casts from classic shows. Most of these movies completely missed the boat as far as recapturing the humor that made the shows so special. THE MUNSTERS REVENGE is among the most disappointing because it goes for a Laurel and Hardy-type comedy style that really wasn't in the original series. Yvonne De Carlo, a wonderful comedienne and essential to the series, is completely wasted - she has less time here in this 90 minute movie than she did in any single 30 minute episode. And since the roles of ""Eddie"" and ""Marilyn"" in this movie are nothing more than cameos, what was the point of making them younger and recasting them? With very little rewriting, they could have used Butch Patrick and Pat Priest. Although seeing some of the Munsters spooky relatives was a nice touch, I didn't enjoy Sid Caesar as the hammy mad scientist mainly because there's too much of him and not enough of the underused Munsters (ironically that very year, 1981, Caesar's old partner in comedy, Imogene Coca, was also inappropriately cast in a major part in a TV movie reunion RETURN OF THE BEVERLY HILLBILLIES). Another strange inexplicable bit at the beginning of the film has the Munster family represented as wax figures at a local horror wax museum. Why would they be in there when they are supposed to be a ""typical"" (if strange) American family, not famous monsters? This was the last Munsters project featuring the original cast in their roles, there was an awful revival of the series in the late 1980's with a completely new cast and a 1990's TV movie which featured DeCarlo, Lewis, Priest, and Patrick in cameo roles as a family dining."
