product_id,review
B00XDPY0P0,"Did not fit!

The top does not provide as much coverage as the photo shows, which is why I bought this swimsuit in the first place. And I ordered a 2XL, which was quite small. More like a medium in U.S. Sizes. It does say that they run small however, so keep that in mind when ordering. I might wear the bottoms, probably won't wear the top though.

Top fit ok but bottom were not even close!!! Will not purchase this brand again.

dont like"
B01F9EKEMK,"One wash fell apart

Let me first say, My wife like the look and style of the Bikini is very different from what is sold out there. She really like the idea of how they place a semi shirt right in front of the bikini, it hides the stomach area, It's a good product specially for woman who have had several pregnancy and want to hide life's signatures. Now here are the negatives; when the bikini arrived she was excited and pumped until she tried it, the upper and lower part of the bikini ran too small, we were under the impression that this wasn't going to be an issue because we order the largest size available. My is 5'8 and 170 pounds. I hope this review help make your mind.

Everything, it is zgorgeous. The straare a little long!!! Otherwise it is perfect...

I received this bating suit Saturday, just in time for my forth of July picnic! I love this is swim suit, but there are a few cons for me. This bathing suit runs just a little small, so i would highly recommend getting the next size up. The ""bra"" part is kinda made for people who do not have large breasts, mine pop out the bottom and top of it. :/ But there is pros about this item as well! I love the color of it and how it is almost like a shirt, my belly and tiger stripes do not peek out too much either. The bottoms are very adjustable with strings on the side. The top have straps that can be adjusted as well. Overall i like the bathing suit and would probably buy it again. Disclaimer: I got this product for a discounted price in exchange for my honest opinion.

Well... the problem with this product is that is plus but is for plus size with no boobs. If you have big Breasts or at least you have some this is not for you. Disclosure: I received this product at a discount in exchange for my honest review.

I ordered this in US 14-16 (tag xxl). I usually wear around a size 14. I'm 5' and weigh 160 so I'm short and chubby. This bathing suit is perfect for my body type. The bottoms are a little smaller than I like. The top fits well but there's not much support so it hangs a little low. It would help if the straps would tighten more, they're quite long, a little too long and loose. The black part that goes over the belly is just the right size. A little loose and not tight. I really like this bathing suit. If the straps could be tightened more I would have given it 5 stars. I highly recommend this. Disclosure: I was offered this product at a discounted price in return for my honest review. In no way did this alter my opinion of the product.

Bottoms got good top fits but it only covers not even half my boobs. I seeee a bra to it so I can still wear it I wear normally a xl and I ordered xxl

I ordered this bathing suit to wear to the beach in a few weeks. I definitely agree with the other reviews on this product. I am normally a medium and ordered this in a XXL. It fits well. I really like the top and how it hides the front of my belly. I'm not a big fan of the string ties holding the bottoms together, but it does fit good. I did receive this product at a discounted rate to give my honest opinion on the product. I would recommend it to my friends but would definitely tell them to order it in three sizes larger than you would normally wear.

The top is way to big and the bottoms are way to small. The bottoms look a a small or medium and the top is more like a 2x. They are really off"
B01FS4IISI,"How adorable is this suit!! We are going to the beach for the 4th of July and when I seen this suit I knew it would be the perfect suit for this trip! It gives me all the coverage I need. The suit has a skirt like feature, I like this. I am a bit bigger so I don't like things that conform to my body. There is still a reg suit underneath, the skirt just sits prettily on top There is removable puddings in the chest area. I was given this product at a discount for my honest feedback. The material is super soft and dries really quickly. I like also that it does ride up, I am chasing two little boys around the sand, The last thing I want is to have to keep adjusting my suit. This suit is perfect to it does ride up some times, but not as much as other suits have on me!"
B01DAFK0OC,"I am a plus size chick, but this 2 piece made me forget all about that. It made me feel sexy, cute and fun all rolled up in one. It hugged my DD breast nicely and the bottoms sat just right on my hips. The material with stood the water. No fading or sagging in the bottom like with other swim suit I have worn.

I had to order 2 suits to equal 1 suit to wear. I had more issues with getting the top to fit. The cup size seems to be very large on the top.

MY STRAP BROKE AS SOON AS I PUT IT ON BUT I HAD IT SEWED BACK. BOTTOM RUNS REALLY SMALL

Great fabric and color. Fits great hides my tummy!!!

HORRIBLE quality. I'm convinced these positive reviews are fake. Literally the worst bathing suit I've ever seen. Dollar store quality.

Great suit. Glad I purchased.

pretty, true to size

Oh man I love this suit! I wasn't expecting it to be so well built and the color is so Bright. I got a 2x I'm usually a size 38dd and a 14 in bottoms. Reading the reviews I decided to go up a size. The material is strong and good. The top is perfect fit. It's a molded cup so it's hard but put it to wash and it will soften up. I love it! Definitely going to run box for more suits

I was so excited to find an affordable suit that might fit a big-busted girl like myself (I am a 34/36DDD depending on the brand). The cups were HEAVILY molded, yet the straps and back support were non existent!!! It was like wearing 2 styrofoam coffee cups with a string to support them! The bottoms fit fairly well ( I wear a 10/12 in women's pants & ordered the XL just to be safe) but the back was unlined. I ordered it in the "" light blue"" (actually a very pretty shade of green) and I was afraid it may be see-thru when wet. I am disappointed and returning it.

The only reason I am not give it 5 stars is because the cups are not big enough fits great everywhere else and still wearable. I am happy with it love the style and color and the side adjustable bottoms are get some days I have more of a tummy pouch then others so I can wear bottom higher to cover or adjust if I am feeling more confident"
B01A0VGV0Q,"This is a stylish and unique swimsuit, I'm 5'6"", 125 pounds with a longer torso and a medium fits great, the material is somewhat stretchy but fits tight. The crochet potion of the swim suit is see through to the skin in the stomach area, however the swimsuit is classy, it doesn't come off looking like lingerie. The crochet material is soft and the bra does have some padding to it, but not any lift. The swimsuit is made in China, but shipped from the US. I received this product at a discount in exchange for my honest, unbiased review.

I got a lot of compliments on this. I got a medium because even though I am petite, I am bigger at the bottom then an Asian woman and have bigger hips too. However I think a small would have been good too. I weigh 110lbs and usually wear a size 2 if that helps.

This is really cute and I'm very happy with it. I have bought a lot of bathing suits on line and not always with the best results. This fits perfect and looks like the picture.

My wife likes it

I like it

Fits as expected.. Super flattering and good quality I received this product at discount through Amz review

Beautiful suit! But, being a one piece, it can be a bit deceiving. The front bottom covers more than the back ""bottom"" part. It's bit of a Brazilian cut in the back so just expect A LOT of your buttocks to show.

Wayyyyyy too big. Maybe I was confused about the special sizing chart. Quality was what I expected for the price. Because it fit so strangely, I will be returning this suit.

Isn't cheaply made.

I am so sad. This swimsuit is amazing and I want to love it sooooo badly! I'm a taller girl and slim so was excited to find that it fit my body perfectly. I love the sheer center portion. It's very sexy and not made of rough fabric at all so it didn't feel scratchy. It comes with attachable straps so it can be worn as a halter or as a strapless suit. The only problem I had was that it comes with built in bra support, which normally is great but I'm not very well endowed. The cups are for quite big chests! The top section ended up looking very strange because I could not fill them out. This suit would be perfectly amazing if the cups were not so big or if they were at least removable or adjustable. I'm going to need to end up returning the suit because I can't wear it as it is which is so disappointing. It's only the chest area that is an issue. This suit is great for tall girls with large chests!

This swim suit would look gorgeous on only a mannaquin or a very specific body-type. I bought this product at a discount in exchange for my honest review, and I'm about to break it down so buyers know what to expect with this product and can shop accordingly. IF you find my review helpful, please vote ""Yes"" below. Here goes. The big beef first: sizing is all over the place. Like I said, it'll fit somebody, but not everybody. It will work for you though if you have a large chest, long torso and a small butt. My wife, who this was for, has a smaller chest, a shorter torso, and a nice-sized booty. Which hangs out of this swim suit in a pleasant way for me but not for her. Unfortunately, the sizing chart that this product's amazon page provides doesn't adequately or accurately describe how this item will fit you. My wife ordered a US 2-4 (small) she is 5'3"" and weighs 113 lbs. Otherwise, the suit is very nice. The pattern is cool and the material is quality and quick-drying. Let me emphasize again that the butt is on the smaller side. Good luck!

I really liked the design, but the material is not as stretchy as I would have wanted so it was a bit difficult to put on. Not that the sizing is small, it fit great when I wore it. The straps are bit hard to put on because they always come loose. The padding I think is a bit thicker than some swimsuits I've had.

I'm about 5'3"" and only 95lbs. I read the reviews to be sure I'd get the right size, and they did not fail me! The netting is a tiny bit loose on me since I'm a little underweight, but"
B00KHX4D44,"I'm 5'1, 106-107 lbs, 34 b, 25 inch waist. I ordered the medium black. I can't believe how cheap it was. The quality seems good enough. Very happy with purchase. The bikini bottom is also very flattering (not too big, but covers just enough of my rear to make it look OK.)

My medium fit like an extra small except for long strings around neck. I gave the top to my 14 year old. The bottoms I kept because I actually wear smalls and I'm in process of losing weight so will fit in them soon. I knew better though. Asians have small frames and I know clothes I have ordered from China usually run small. Very cute though.

Bikini set is very cute and very good quality considering it is so inexpensive. Shipping came surprisingly very fast. I ordered a medium but it was too small. Waiting for the next size up to come in.

A little bit small... but great!

Amazing job by Injoy! I emailed them that the size was a little off, they got back immediately and addressed the issue! I will for sure be doing business with them again.

Not the best material and a little confusing to put on at first, but it fits well and looks great.

Can't wear this top being that it barely covers my nipples and I bought the largest size they had for my DD chest. Terrible top; kept the bottoms however.

Okay

sizes run small

I am a 34b and ordered a medium, the top was a little weird fitting but the bottoms fit nicely. (i'm 5'4 and about 120 pounds). Nice material for the price! :)

I read all the reviews and found many people with similar sizing as me. I am 5'2 125lbs, athletic, 32DD and hippy. I ordered a medium based of reviews and that typically is a safe size for me. Could barely get the bottoms on, the top fit ok but wasn't flattering on my build, not enough support for the girls.

I didn't really like this swimsuit, maybe if you're a twig wth big boobs it would work, but otherwise I would shy away from this product

love it!

130 lbs 5'7"" Ordered the medium. I should have got the large but then would have been too big in the chest. The bottoms are VERY small and ill fitted. The straps on the side of the bottoms looks NOTHING like the pic. Do not bother with this swimsuit. The material always very cheap.

Great suit. Flattering fit!"
B01G39B1E0,"Super cute suit, but only good if you are VERY thin with no curves. I'm 5'8"" and 125, and this top didn't cover my boobs and looked like a child's swimsuit on me bc it's cut so small. Too bad.

Items was just tiny string and was already torn.

Wow this swimsuit is tiny! I can't believe this is advertised as one-size-fits all! This is coming from a small woman, so it is only somewhat small for me but would be impossible for an average to large sized person to wear. The suit technically fits in that I can fit it on my body, but the bottoms are teeny tiny and pretty much fit like a thong bikini. That being said, I still really like the swimsuit and think it's really cute. I just have to reserve wearing it for times when I'm not self-conscious about people seeing my entire booty! The craftsmanship is also very good, it seems like a well-made garment. So, if you're looking for a tiny little swimsuit to really show off your body, I would recommend this.

Fits my cat perfectly. Not made for humans.

It was way too small for me and I'm 5'4, 115 pounds. There is not much fabric covering you up so be forewarned. It may fit somebody smaller than me with a top size smaller than an A cup.

Great quality. I'm 5'5"", 129lbs, 34dd. The bottoms fit perfect, but I like the more cheeky type of bikini bottoms. If you like full coverage, these aren't for you. The top covers my boobs perfect, but it does slide so I wore them with pasties to avoid any nudity. This bikini is beautiful, but it isn't a bikini to swim, and do activities in. It's more of a bikini to just look pretty in and not do much other than stand and walk around. The top has adjustable ties on the top around the neck, and on the back. The cups do not move, they stay in place. The bottom has a string which you can make it tighter if needed. Both pieces have a thin white fabric which helps from seeing any of the private areas. Material is crochet. Looks exactly like the picture. Very pretty colors. I wore this bikini for about 4 hours, and washed it in delicate, and hung to dry, and it still looks like new.

very see through and skimpy. Unless you have no butt and boobs this will look very showy.

Bottoms fit just right and as an added bonus they are double lined! Can't say the same for the top though. The top seems like it was probably made for an A to B cup boobs. My double D's definitely won't fit... Luckily I ordered a different white crocheted top! The bikini is definitely quality for how cheap it was. Love"
B00K7CISSM,"Best suit I ever bought.

I'm very mediumish (medium weight, height). Fit great. I liked the coverage; very basic, covered the booty and lower front nicely - so rare in swimwear these days. Great to wear under a skirt like a tank top. Bought it for going on the water-rides at an amusement park, but love it in general for swimming because it stays in place. (I'm the buyer's wife, actually). Flexible fit to a point. I'm 5'5"" and 130 lbs (about a size 10), but my100lb, 4'9"" daughter bought another pattern and it fit well also (petite size 6). Seems to have enough stretch for someone slightly larger than myself; I wouldn't push it past a size 14."
B00YC5UXBU,"Way too small

The suit was really nice in colors and the pattern was what I expected like the picture. Only complaint I have is I got a size bigger thinking it would come a little small, but I wish I had gotten my actual size instead cause it seems it sizes are correct and if you wear a large get a large. Plus it don't have pads but I just took the pads from an old suit n used them.

I thought it would be smaller since I assumed Asian sizing. But it was a little on the bigger side for me, but that was my mistake when ordering. There is no support at all for the top and it looked almost like a jogging outfit. It was still cute, but maybe if I had ordered a smaller size, it would've been cuter.

Very cute, however, material is very thin. The top does not fit well and does not have any support, I am larger at the bottom than top so I did still give it 3 stars. This issue is easily fixed with a nude or coordinating sports bra, and is good for show but I wouldn't recommend actually swimming in it...or getting it wet. I am 5'0'' approx 150 lbs pear shaped."
B00W3JFIC6,"Great quality! Thank you for such an amazing product!!

To small doesn't fit true to size

I had to go two sizes up, and it still does not fully cover my booty. I am 5 8' 145 pounds 34b breast. Has to get a large. I gave e away the small and medium. It's still cute though....

The suit itself is cute, of course it varies from the picture a bit. The small strap in the back is the real problem... There is absolutely no stretch in it to be pulled up any higher than your mid thigh. According to all the measurements listed it should have been spot on, I ordered the correct size for me. Very disappointed in the purchase, it was returned immediately.

This bathing suit looks like the picture besides the fact that the front is a VERY deep V. If you have really narrow hips it would look good on you. Not for curvy women. Ordered a small and besides the deep v, it fits well. Almost no breast support.

I am 5'3"" and 120 lbs. This swim suit would not fit me at all. I normally wear mediums in swimware but this suit was extremely small.

I am absolutely in love with this monokini. Very stylish, sexy and affordable! GREAT customer service!! Contacted the seller to ship it faster and they were very kind and professional. Great purchase.

I mean.... If you can make it work do it. However, I am small! Didnt' work..

super sexy and fits very well for hourglass figures. Lots of compliments. The backside is cheeky but not like a thong. No support for the girls though so if you are saggy up top, this one may not be for you.

Don't buy this swimsuit. It doesn't fit and the stitching is so weird. It looks like a blind folded person made this.

Love love love

I loved this Bathing Suit. I felt so sexy on my vacation to Cabo. Held everything in and was made with good material.

This is very sexy!! The fit was too small but I already took it on my trip. Glad I kept the item though.

120 lbs, 5'7"", size small was too small. Medium was much better.

I read the reviews before i got it so i went one size up!! i love it:)

The bathing suit I received was not this one .

Small on bottom. Okay on the top."
